tid,attribute,correct_val
41,sepal_length,4.5
41,sepal_width,2.3
41,petal_length,1.3
41,petal_width,0.3
42,sepal_length,4.4
42,sepal_width,3.2
42,petal_length,1.3
42,petal_width,0.2
43,sepal_length,5.0
43,sepal_width,3.5
43,petal_length,1.6
43,petal_width,0.6
44,sepal_length,5.1
44,sepal_width,3.8
44,petal_length,1.9
44,petal_width,0.4
45,sepal_length,4.8
45,sepal_width,3.0
45,petal_length,1.4
45,petal_width,0.3
46,sepal_length,5.1
46,sepal_width,3.8
46,petal_length,1.6
46,petal_width,0.2
47,sepal_length,4.6
47,sepal_width,3.2
47,petal_length,1.4
47,petal_width,0.2
48,sepal_length,5.3
48,sepal_width,3.7
48,petal_length,1.5
48,petal_width,0.2
49,sepal_length,5.0
49,sepal_width,3.3
49,petal_length,1.4
49,petal_width,0.2
50,sepal_length,7.0
50,sepal_width,3.2
50,petal_length,4.7
50,petal_width,1.4
51,sepal_length,6.4
51,sepal_width,3.2
51,petal_length,4.5
51,petal_width,1.5
52,sepal_length,6.9
52,sepal_width,3.1
52,petal_length,4.9
52,petal_width,1.5
53,sepal_length,5.5
53,sepal_width,2.3
53,petal_length,4.0
53,petal_width,1.3
54,sepal_length,6.5
54,sepal_width,2.8
54,petal_length,4.6
54,petal_width,1.5
55,sepal_length,5.7
55,sepal_width,2.8
55,petal_length,4.5
55,petal_width,1.3
56,sepal_length,6.3
56,sepal_width,3.3
56,petal_length,4.7
56,petal_width,1.6
57,sepal_length,4.9
57,sepal_width,2.4
57,petal_length,3.3
57,petal_width,1.0
58,sepal_length,6.6
58,sepal_width,2.9
58,petal_length,4.6
58,petal_width,1.3
59,sepal_length,5.2
59,sepal_width,2.7
59,petal_length,3.9
59,petal_width,1.4
60,sepal_length,5.0
60,sepal_width,2.0
60,petal_length,3.5
60,petal_width,1.0
61,sepal_length,5.9
61,sepal_width,3.0
61,petal_length,4.2
61,petal_width,1.5
62,sepal_length,6.0
62,sepal_width,2.2
62,petal_length,4.0
62,petal_width,1.0
63,sepal_length,6.1
63,sepal_width,2.9
63,petal_length,4.7
63,petal_width,1.4
64,sepal_length,5.6
64,sepal_width,2.9
64,petal_length,3.6
64,petal_width,1.3
65,sepal_length,6.7
65,sepal_width,3.1
65,petal_length,4.4
65,petal_width,1.4
66,sepal_length,5.6
66,sepal_width,3.0
66,petal_length,4.5
66,petal_width,1.5
67,sepal_length,5.8
67,sepal_width,2.7
67,petal_length,4.1
67,petal_width,1.0
68,sepal_length,6.2
68,sepal_width,2.2
68,petal_length,4.5
68,petal_width,1.5
69,sepal_length,5.6
69,sepal_width,2.5
69,petal_length,3.9
69,petal_width,1.1
70,sepal_length,5.9
70,sepal_width,3.2
70,petal_length,4.8
70,petal_width,1.8
71,sepal_length,6.1
71,sepal_width,2.8
71,petal_length,4.0
71,petal_width,1.3
72,sepal_length,6.3
72,sepal_width,2.5
72,petal_length,4.9
72,petal_width,1.5
73,sepal_length,6.1
73,sepal_width,2.8
73,petal_length,4.7
73,petal_width,1.2
74,sepal_length,6.4
74,sepal_width,2.9
74,petal_length,4.3
74,petal_width,1.3
75,sepal_length,6.6
75,sepal_width,3.0
75,petal_length,4.4
75,petal_width,1.4
76,sepal_length,6.8
76,sepal_width,2.8
76,petal_length,4.8
76,petal_width,1.4
77,sepal_length,6.7
77,sepal_width,3.0
77,petal_length,5.0
77,petal_width,1.7
78,sepal_length,6.0
78,sepal_width,2.9
78,petal_length,4.5
78,petal_width,1.5
79,sepal_length,5.7
79,sepal_width,2.6
79,petal_length,3.5
79,petal_width,1.0
80,sepal_length,5.5
80,sepal_width,2.4
80,petal_length,3.8
80,petal_width,1.1
81,sepal_length,5.5
81,sepal_width,2.4
81,petal_length,3.7
81,petal_width,1.0
82,sepal_length,5.8
82,sepal_width,2.7
82,petal_length,3.9
82,petal_width,1.2
83,sepal_length,6.0
83,sepal_width,2.7
83,petal_length,5.1
83,petal_width,1.6
84,sepal_length,5.4
84,sepal_width,3.0
84,petal_length,4.5
84,petal_width,1.5
85,sepal_length,6.0
85,sepal_width,3.4
85,petal_length,4.5
85,petal_width,1.6
86,sepal_length,6.7
86,sepal_width,3.1
86,petal_length,4.7
86,petal_width,1.5
87,sepal_length,6.3
87,sepal_width,2.3
87,petal_length,4.4
87,petal_width,1.3
88,sepal_length,5.6
88,sepal_width,3.0
88,petal_length,4.1
88,petal_width,1.3
89,sepal_length,5.5
89,sepal_width,2.5
89,petal_length,4.0
89,petal_width,1.3
90,sepal_length,5.5
90,sepal_width,2.6
90,petal_length,4.4
90,petal_width,1.2
91,sepal_length,6.1
91,sepal_width,3.0
91,petal_length,4.6
91,petal_width,1.4
92,sepal_length,5.8
92,sepal_width,2.6
92,petal_length,4.0
92,petal_width,1.2
93,sepal_length,5.0
93,sepal_width,2.3
93,petal_length,3.3
93,petal_width,1.0
94,sepal_length,5.6
94,sepal_width,2.7
94,petal_length,4.2
94,petal_width,1.3
95,sepal_length,5.7
95,sepal_width,3.0
95,petal_length,4.2
95,petal_width,1.2
96,sepal_length,5.7
96,sepal_width,2.9
96,petal_length,4.2
96,petal_width,1.3
97,sepal_length,6.2
97,sepal_width,2.9
97,petal_length,4.3
97,petal_width,1.3
98,sepal_length,5.1
98,sepal_width,2.5
98,petal_length,3.0
98,petal_width,1.1
99,sepal_length,5.7
99,sepal_width,2.8
99,petal_length,4.1
99,petal_width,1.3
100,sepal_length,6.3
100,sepal_width,3.3
100,petal_length,6.0
100,petal_width,2.5
101,sepal_length,5.8
101,sepal_width,2.7
101,petal_length,5.1
101,petal_width,1.9
102,sepal_length,7.1
102,sepal_width,3.0
102,petal_length,5.9
102,petal_width,2.1
103,sepal_length,6.3
103,sepal_width,2.9
103,petal_length,5.6
103,petal_width,1.8
104,sepal_length,6.5
104,sepal_width,3.0
104,petal_length,5.8
104,petal_width,2.2
105,sepal_length,7.6
105,sepal_width,3.0
105,petal_length,6.6
105,petal_width,2.1
106,sepal_length,4.9
106,sepal_width,2.5
106,petal_length,4.5
106,petal_width,1.7
107,sepal_length,7.3
107,sepal_width,2.9
107,petal_length,6.3
107,petal_width,1.8
108,sepal_length,6.7
108,sepal_width,2.5
108,petal_length,5.8
108,petal_width,1.8
109,sepal_length,7.2
109,sepal_width,3.6
109,petal_length,6.1
109,petal_width,2.5
110,sepal_length,6.5
110,sepal_width,3.2
110,petal_length,5.1
110,petal_width,2.0
111,sepal_length,6.4
111,sepal_width,2.7
111,petal_length,5.3
111,petal_width,1.9
112,sepal_length,6.8
112,sepal_width,3.0
112,petal_length,5.5
112,petal_width,2.1
113,sepal_length,5.7
113,sepal_width,2.5
113,petal_length,5.0
113,petal_width,2.0
114,sepal_length,5.8
114,sepal_width,2.8
114,petal_length,5.1
114,petal_width,2.4
115,sepal_length,6.4
115,sepal_width,3.2
115,petal_length,5.3
115,petal_width,2.3
116,sepal_length,6.5
116,sepal_width,3.0
116,petal_length,5.5
116,petal_width,1.8
117,sepal_length,7.7
117,sepal_width,3.8
117,petal_length,6.7
117,petal_width,2.2
118,sepal_length,7.7
118,sepal_width,2.6
118,petal_length,6.9
118,petal_width,2.3
119,sepal_length,6.0
119,sepal_width,2.2
119,petal_length,5.0
119,petal_width,1.5
120,sepal_length,6.9
120,sepal_width,3.2
120,petal_length,5.7
120,petal_width,2.3
121,sepal_length,5.6
121,sepal_width,2.8
121,petal_length,4.9
121,petal_width,2.0
122,sepal_length,7.7
122,sepal_width,2.8
122,petal_length,6.7
122,petal_width,2.0
123,sepal_length,6.3
123,sepal_width,2.7
123,petal_length,4.9
123,petal_width,1.8
124,sepal_length,6.7
124,sepal_width,3.3
124,petal_length,5.7
124,petal_width,2.1
125,sepal_length,7.2
125,sepal_width,3.2
125,petal_length,6.0
125,petal_width,1.8
126,sepal_length,6.2
126,sepal_width,2.8
126,petal_length,4.8
126,petal_width,1.8
127,sepal_length,6.1
127,sepal_width,3.0
127,petal_length,4.9
127,petal_width,1.8
128,sepal_length,6.4
128,sepal_width,2.8
128,petal_length,5.6
128,petal_width,2.1
129,sepal_length,7.2
129,sepal_width,3.0
129,petal_length,5.8
129,petal_width,1.6
130,sepal_length,7.4
130,sepal_width,2.8
130,petal_length,6.1
130,petal_width,1.9
131,sepal_length,7.9
131,sepal_width,3.8
131,petal_length,6.4
131,petal_width,2.0
132,sepal_length,6.4
132,sepal_width,2.8
132,petal_length,5.6
132,petal_width,2.2
133,sepal_length,6.3
133,sepal_width,2.8
133,petal_length,5.1
133,petal_width,1.5
134,sepal_length,6.1
134,sepal_width,2.6
134,petal_length,5.6
134,petal_width,1.4
135,sepal_length,7.7
135,sepal_width,3.0
135,petal_length,6.1
135,petal_width,2.3
136,sepal_length,6.3
136,sepal_width,3.4
136,petal_length,5.6
136,petal_width,2.4
137,sepal_length,6.4
137,sepal_width,3.1
137,petal_length,5.5
137,petal_width,1.8
138,sepal_length,6.0
138,sepal_width,3.0
138,petal_length,4.8
138,petal_width,1.8
139,sepal_length,6.9
139,sepal_width,3.1
139,petal_length,5.4
139,petal_width,2.1
140,sepal_length,6.7
140,sepal_width,3.1
140,petal_length,5.6
140,petal_width,2.4
141,sepal_length,6.9
141,sepal_width,3.1
141,petal_length,5.1
141,petal_width,2.3
142,sepal_length,5.8
142,sepal_width,2.7
142,petal_length,5.1
142,petal_width,1.9
143,sepal_length,6.8
143,sepal_width,3.2
143,petal_length,5.9
143,petal_width,2.3
144,sepal_length,6.7
144,sepal_width,3.3
144,petal_length,5.7
144,petal_width,2.5
145,sepal_length,6.7
145,sepal_width,3.0
145,petal_length,5.2
145,petal_width,2.3
146,sepal_length,6.3
146,sepal_width,2.5
146,petal_length,5.0
146,petal_width,1.9
147,sepal_length,6.5
147,sepal_width,3.0
147,petal_length,5.2
147,petal_width,2.0
148,sepal_length,6.2
148,sepal_width,3.4
148,petal_length,5.4
148,petal_width,2.3
149,sepal_length,5.9
149,sepal_width,3.0
149,petal_length,5.1
149,petal_width,1.8
