fk1,fk2,v1,id
9,6,MC42ODU0NDQ2Nzc1MDg5NzYx,97
10,0,MC40Nzk2NjMxODMzODYwODc5Mw==,98
0,1,MC4xNzQ0MTAyNjE0NTc3NjIxNw==,99
1,2,MC40NTAxNzM2MDIxNzQyNzU3,100
2,3,MC44MzUwOTE1Njk3NzA0Mzk=,101
3,4,MC4xMjIyMTEzNDM5NTg3NDQ3OA==,102
4,5,MC42MTEzMjI0NTM5MTEwNTEx,103
5,6,MC45MjkyMjU3MjUwNTQ0MTY2,104
6,0,MC4wNzM0MjczMjI5MTYwNTgzNg==,105
7,1,MC41Mzk3MTU2NDcwOTI5OTM0,106
8,2,MC42NDM5NTc5MjA0MTM3NzQ5,107
9,3,MC43Nzc1MTM0MTE4MTEwMDcz,108
10,4,MC44MTg5MjMyMDQxMjQ4OTc2,109
0,5,MC41MTExMDM4OTU0ODQ1OTM1,110
1,6,MC41NzE0NDY5NzI1NDI3ODk4,111
2,0,MC4yMDEwMjk5NjU1NTI2ODYxNQ==,112
3,1,MC4wMTU3MjEwNjAxNjUwMTgzOTc=,113
4,2,MC4zOTUwMjc3MDQ5Njg1ODEy,114
5,3,MC41NTg1NjYxNjU4MzIzMzA3,115
6,4,MC43NzcwNDEyNzAxODYxNTY=,116
7,5,MC45MTg5NTIzODczNTgzMjQ=,117
8,6,MC4wNTQyNjEyMzQ1NzI0NzM0NQ==,118
9,0,MC40NzczODU2MTczNjU1MTUz,119
10,1,MC43OTQ4NTc0MTY1NzY0MTk4,120
0,2,MC41NDgwNTI0MzkyNTgzODg4,121
1,3,MC4wODM1ODUwMDM4MjY2MDczOA==,122
2,4,MC45NTgyNjU0OTI0Nzk5NTY=,123
3,5,MC41MDY3MzI3NTQ5NzgyNjMz,124
4,6,MC41OTI4NTcxMzU2MTM4MTg1,125
5,0,MC4wNzgyMzI0MTk4NzE0NTczNQ==,126
6,1,MC4yOTIwMjMzOTI1OTc4NzgyNA==,127
7,2,MC4yNzUxNjQxMzcwNDQwOTE5,128
8,3,MC4xNjgzMjY5OTE2NjM2MDE=,129
9,4,MC40NjAwMzY4ODY3MTk0MDA3,130
10,5,MC4yMjc2NDMxNTkxMzA0MjQ2NQ==,131
0,6,MC42NDU0NzUwMTc4NzI4Mjc0,132
1,0,MC4zMzA3ODAwMTgwNzM5ODc4,133
2,1,MC44MzU4ODM0Mjc3NTAxODEx,134
3,2,MC41MzExMzU0NzEzMTUyMjcy,135
4,3,MC4xNjkxOTE5NDY4OTg4MDI1Nw==,136
5,4,MC41NTIyMjE4MDc5NTc2MjQ=,137
6,5,MC4yMDIxMTU4NTU5NzEzOTU3,138
7,6,MC4xMjYxODM3MTE4OTkxNTI2Nw==,139
8,0,MC4zOTIwNDg2ODU2Nzg4OTc4Mw==,140
9,1,MC43MzE4MzczMDE2MDYxMzg1,141
10,2,MC45MTQxNjUyODc2MDU2ODgy,142
0,3,MC4wMTMxNzc0NDE1MzY3Nzc5MTI=,143
1,4,MC4zNzMxNDYxNTgxOTU4NjI3,144
2,5,MC41OTQzMjA1MTU2NDYzMzkz,145
3,6,MC4xMTkyNTgwNzkwNTcwMDU1OA==,146
4,0,MC45ODU4MTA0MDY3NjY4OTk3,147
5,1,MC41NDg5ODM1NjEwNzY1Mjg4,148
6,2,MC4zODUzMzUzMjM2MzUyODcy,149
7,3,MC4zOTkzNTY0MzQzMzIwNjk=,150
8,4,MC45NDk3MzQ2NjYxMzIyODA3,151
9,5,MC44Mjc4Nzk2ODYxMTEzMzE5,152
10,6,MC40ODQwMTE2NTY4Mjk2Mw==,153
0,0,MC40OTEwMDM3NjA3NzMwNjU0,154
1,1,MC4zOTY2MDI4NDc0Njg1Mjg4,155
2,2,MC42MDkyMzYxODE1NTEwMDUz,156
3,3,MC4xMDEwNjE2NDY2NzA4NzMyNQ==,157
4,4,MC40MjM5MzExOTc0NzYyMzA4Nw==,158
5,5,MC40NzI3NjMwMjI1MDE5ODYx,159
6,6,MC41OTYyMjU3NjY1NDk3Mzk1,160
7,0,MC43NzY0NTEzNzk2MTM0NjQ5,161
8,1,MC4xMzEwNzAyMTQyMTQwMDc3Nw==,162
9,2,MC43NzMxMTM2Njk4NDQ1NDU=,163
10,3,MC40NzQ5Mjg0ODY4OTUxNTgx,164
0,4,MC41NzY0NTcxNTQ1MTkyOTAx,165
1,5,MC45MzQ2MDk5Mzk0MjExNDEx,166
2,6,MC4yODk1NTYyNjg4MzI5MDI4Ng==,167
3,0,MC44MTU1NDc5MzMyNzk1NzYx,168
4,1,MC40MjU5MjI4NjQzNTc4NDEz,169
5,2,MC45Mzk0NTQ1NjY5MTg1MjU5,170
6,3,MC45NzExODgzNDE3OTM2MTIy,171
7,4,MC4zOTEwNzAwMzUwODgxMDc=,172
8,5,MC4zMzAxODk5MjAwMzk1Nzk4,173
9,6,MC42NDMwNTgzNjc3MDg0NTk3,174
10,0,MC45NDY1MjIyMTk0OTM4ODQy,175
0,1,MC45NTk5MDk1OTY2OTQ1NzEx,176
1,2,MC44NTE3MzUzNjQxOTU4MjQ=,177
2,3,MC41MDk5ODcxODgwMzkwMTQ0,178
3,4,MC44NTAzNjM0OTE1OTMyNzY3,179
4,5,MC4wNzc2NjUxMjYyNDIzNDA1Nw==,180
5,6,MC44MDY4MzYwNzQ5ODQ2NzMx,181
6,0,MC40NDQ1NTIxODAzMzU0NzE0,182
7,1,MC43MTgyMDcxNDM3ODEyODAx,183
8,2,MC4wNzgxMzcwNzM4NzEzNzkxNA==,184
9,3,MC4wMTcxMTQ1MjMyODAzODIx,185
10,4,MC4zMDgzMTM1MTYyNzQwMDYyNw==,186
0,5,MC41NjcxOTczMDYyODA3Mjk3,187
1,6,MC4yMzE4NTUzMTY0NDE0OTI4Mg==,188
2,0,MC40NzEwNzQ0MDUxNTEzNzU0NA==,189
3,1,MC4yMzM0NzI2ODE0NDA0NjgwNw==,190
4,2,MC44NDE5ODk1NzI1OTg5MzQx,191
5,3,MC4wNDI2MzYwNDI1NTM4NDA5,192
6,4,MC44ODI4NzA3MjQwNjI5NzA4,193
7,5,MC4yMzI2MjM5ODg4NDQxMTUxNw==,194
8,6,MC4xNzYwMDA4MDQzOTM4NTEyNA==,195
9,0,MC4yMzA5NjQxMjk0OTI1NjIxOA==,196
10,1,MC4xOTU1NzE1NzQ5NzU3NzY4Mg==,197
0,2,MC4xMzkwMTU3MDU3MTQ2NzcyNQ==,198
1,3,MC4wNTg1NjA1MTM5MTcyMDI2Mw==,199
2,4,MC43MTQ4OTExMzM1NTY5MTUx,200
3,5,MC40OTM5MzU4MDkxMDExNTU0,201
4,6,MC41MDUwOTU1NDc2NDgyNDU2,202
5,0,MC4wMjk0NTg5MzQ3MDg0OTI4MTI=,203
6,1,MC40NzM4MDM1MDA5OTg1MDA5,204
7,2,MC4xNzEyOTczMjU5ODY2ODU0Ng==,205
8,3,MC4xNzgyNzc2MDM4MTU1Njk3OQ==,206
9,4,MC42OTMwMjQzNTIxNDQyMzY0,207
10,5,MC44MDExNjgzMjA1MDEyNTU=,208
0,6,MC4wNTAzNTc2NzkxODk0NjI1NDU=,209
1,0,MC4xNjE2MDQ4MTMxMTU3MzMwNQ==,210
2,1,MC40NTg2OTQ1OTQ3MzQ1MzkzMw==,211
3,2,Ny4zOTU0NDI2NDgwMjI3MjFFLTQ=,212
4,3,MC43OTc1NDk0NzE3MzYwMjA1,213
5,4,MC4xNjM4NzUwNzY2OTU0OTUxNw==,214
6,5,MC44MTQ2MzYwNTUyMDcyNzAz,215
7,6,MC4zNDAxMTE1MjY2MDg3NTI2Ng==,216
8,0,MC4yNzcwMzU0NDQ0MzUzMjAxMw==,217
9,1,MC44NTQ4MDMyNDU0NTM2OTQz,218
10,2,MC44NTUwNDczNDQyNTI4OTEx,219
0,3,MC42ODQ5Njc0OTM1OTMyOTEz,220
1,4,MC40MDgzNDA0MzE4NTEyNDMxNA==,221
2,5,MC41ODgzMTM1NjcwNDc5Njk=,222
3,6,MC4wMTczNTc5MDAzODg3NDU1MTc=,223
4,0,MC45MDc1MjY0MTU2MjQwODg2,224
5,1,MC42NzQ0MDYwMzIyMDU5ODc2,225
6,2,MC4yMzgzODc4NTQ3NTcwNzAyNQ==,226
7,3,MC44OTA0NjE3MDA0Mjc3Nzg1,227
8,4,MC45NzkxNzg3MDQ2OTI2NjU4,228
9,5,MC4xNDk0MjcyNDU0NzkyMjMzNw==,229
10,6,MC40NzMxNTU5Njc1MTUwNDg5Ng==,230
0,0,MC4zOTE2MDg2OTY3MTkzNjA0,231
1,1,MC44NzIzNjg3MjI2NTczOTMz,232
2,2,MC4zMTE0MzE1NTY5OTQzOTgwNg==,233
3,3,MC4zMjMwNDQxMjc3NzQ2OTM0,234
4,4,MC4wNzk2MzExOTkzOTAwODg1Ng==,235
5,5,MC4zNzc5Mjg5NDYzNTk5MjI2,236
6,6,MC45NDY2NTQzMTgxNjUwMzAx,237
7,0,MC41OTg4MzgxMDIwMjE1Njk=,238
8,1,MC42NDAwNjA3MDEwMjEyODk5,239
9,2,MC4zNDU5MzkzOTYwMjI0OTMzNQ==,240
10,3,MC44ODczNzg0MTkzMDU5Mzcy,241
0,4,MC40NjExOTc2Mjc1NzQ4MzU5Ng==,242
1,5,MC40MDIwNTcyNjE4NTIzOTMx,243
2,6,MC45OTUwMjI3MzM1MzIxMzg4,244
3,0,MC45MjYzMDM5MzU2NzIwNzY3,245
4,1,MC43MzMwMDYzODA3NTg4MTA2,246
5,2,MC40NzI3NDg4NDk4MDU5Mzc=,247
6,3,MC4zMjc3NTczODI2NTA3MDgz,248
7,4,MC4yNTI1MDk1MDczMTMyODM1,249
8,5,MC43NzU5Njg1Mjc0NTkzNjE1,250
9,6,MC43MjU2MDQzNzUyODU1MDc3,251
10,0,MC42NDUxMDU1NjcwNjczMzg3,252
0,1,MC44MjUxMTYzMDM5NzIwNDQ=,253
1,2,MC42ODk5Mzg0NTQwNzg5OTQ=,254
2,3,MC40NzA5NDA5OTQ0NTY2ODY5,255
3,4,MC45Mzc0Mjc4MTg1MzY1OTM2,256
4,5,MC4yMTAwNDc4Njc3NzU2NDIyMg==,257
5,6,MC4wNDgxNzE3MzgwNDgzODIzNw==,258
6,0,MC44NDcxMTU2NDM1MjQ0MDU5,259
7,1,MC44MTk5OTIyMTYwMDAwNzY1,260
8,2,MC40OTIwMDY2MzA2NTM5ODk4Ng==,261
9,3,MC43MTE4MDgzNzI2MDk3NTQ1,262
10,4,MC43NTg4MzYwNTE0NDIyMDQ=,263
0,5,MC4wMzQ5NDc4NTE2MzkyMjg5OA==,264
1,6,MC43MzA0NDg4NjE0OTA4MDI2,265
2,0,MC42MDc2OTE1NjczMjc2NDIz,266
3,1,MC40NDgzNTY5NDY5MTA0NDg4,267
4,2,MC40MzU5MTE2NzIwMzU3MDc4,268
5,3,MC44MDg2MjM3MzcyNTUzMzI1,269
6,4,MC41OTE1Njg0OTkyNjMwODAx,270
7,5,MC4xNDUyMjYxODIxNTk4NzQ5Mw==,271
8,6,MC4zNjk4MDQ1MTgwNDY2MTE3NA==,272
9,0,MC4zNDQ3OTk3MDY4NTg2NzA5,273
10,1,MC4zMTM2NTM0NDQyMzUyMDU5,274
0,2,MC44NTkwNzEzNjk0MzQzNjM4,275
1,3,MC4yNjY4NjI0MjI1MzEwODQwNQ==,276
2,4,MC4wNzQ2MzM2MzM2OTcyNjY2MQ==,277
3,5,MC44NjY4MDA5NTgzNTgwNzk5,278
4,6,MC44MTcyODc1MDAyMjcxMDg5,279
5,0,MC4yNDQ4MzE5MDc2MDc0OTY1,280
6,1,MC42MzQ5MDY4NTQ1MzIxODYx,281
7,2,MC4yNjEwODQ5NDMxMDAzNDU3,282
8,3,MC4xODM5NTQ0MTkzMzA1NDk2OA==,283
9,4,MC45MTgxMTYwMTU5MTYxNTE4,284
10,5,MC4zNjE4OTg3ODg0Mzc0MDI1Mw==,285
0,6,MC4wNjM4MTkxMDIwMzg4Njk2NQ==,286
1,0,MC43MDM3MjM3OTExOTcxMjI2,287
2,1,MC42OTUzMzU0Mzg1NzYxNjQ4,288
3,2,MC45MjE3OTI2MDk0MDk2Mjc1,289
4,3,MC40MzY3MDQ4OTUzMzAxMTQ3,290
5,4,MC40MzA4MTk3NDAwNDA0Ng==,291
6,5,MC44OTM4MDcxNDM1ODIxOTY2,292
7,6,MC40NzExNjQ4MzQ4OTE5NjMzNw==,293
8,0,MC4xNTUyMDAyNzUwNTk1ODM=,294
9,1,MC4xMDg5NzY5Njg1NzUyOTgxNQ==,295
10,2,MC4wNzYzNDQyNzYyNDE5ODM0OA==,296
0,3,MC44NDgwNDQ2NzExMTg4MzM2,297
1,4,MC40OTU4NzkyMjQwODg4OTgwNg==,298
2,5,MC45NjUwNTkzODE3NDMwMzg3,299
3,6,MC44MjI3NDU5NTAyODEyNTIx,300
4,0,MC4yMjI3NzQ5ODA4MDg0MjQ2Mg==,301
5,1,MC43MjY2NjU4NTU4ODQ5NzE2,302
6,2,MC42MDAwNDIwNzU1NjgyMzM5,303
7,3,MC43MzI5NDEzMzE1MjQwNDA1,304
8,4,MC4xMTQ3Njk2MTA2OTUxNzQx,305
9,5,MC44MjM1NDIyMTQ2MTkzNTky,306
10,6,MC40OTY3NzM5MTk4MTgzMDE0Mw==,307
0,0,MC41MjIyNjE4MDAxOTUxNjQ0,308
1,1,MC42MDAxOTc3NTYzMzM3MDQ5,309
2,2,MC4xMDAyMjI5MzE0NDMyNzUzMg==,310
3,3,MC41NzUxNDY0MDk3ODg3ODQx,311
4,4,MC42ODEyNDYxNDE1MjI2NDg3,312
5,5,MC40ODMxODg4Mjc5MDA1Mzc1,313
6,6,MC43NDQ3NjMxOTM2MjU0Njg5,314
7,0,MC4yOTIxOTIzNDk5ODUzMzY1,315
8,1,MC45MjM1OTYyNDMzMDQ0Mjcx,316
9,2,MC40NzEzMDQ0NTk3ODg4Nzg5,317
10,3,MC44ODU1MzU0NTIwMzU1MTI1,318
0,4,MC42NTc3Njg5NjA2NDgyMjUy,319
1,5,MC4xNjE4ODIwNjI5NTQ3MzY3Mw==,320
2,6,MC40MDAzNTY5NTU3MDc5MzU3,321
3,0,MC4wNjAzNjA3NzM4MzMyODM1Mw==,322
4,1,MC43Mjc1ODE4OTUwMjQxODc3,323
5,2,MC40MDQwNDIxMzU4NzEyMzM3,324
6,3,MC42Njk0ODI4NzY4MTY3MzA5,325
7,4,MC40MDk2ODQzMTQyOTEzNzI=,326
8,5,MC4xODg0MDQ4NDU3NzU3OTgy,327
9,6,MC41MzA4OTYxMjAzNTg3Njk1,328
10,0,MC4zMjI4NjUyMTk4MTk3OTQy,329
0,1,MC45NTg4MjQ1NzYzMTYwNjU5,330
1,2,MC44Njk4OTk3ODE2MDY1NDM0,331
2,3,MC4wNDM3MzEzNzQwNjcxMDM4MQ==,332
3,4,MC42MDc2NTA5ODc1OTY5OTk5,333
4,5,MC4zMjQ4NDQ5MjYwMzU4MDc3,334
5,6,MC4xMDM0Njg0MzcwMDUxNTc3Mw==,335
6,0,MC45ODk5MzY4ODc4MDAxNjQ4,336
7,1,MC43ODg1NzI3MTUzMTYzMTUz,337
8,2,MC43NjQ3MTQ3NDc3MjU0ODg4,338
9,3,MC45NzkxOTc0NzMxNTI5MDQy,339
10,4,MC43Nzk2MDc1Mjk2MjMwNjY1,340
0,5,MC4yNTc3NTQ5OTMwMjA0NjQ3,341
1,6,MC41MzIxNjM2NDk2ODk0ODc=,342
2,0,MC44MDg4ODc1NjUwNTg5ODAy,343
3,1,MC43MTY1OTgyMDczNzIxMDUx,344
4,2,MC4wMDQzODE5OTY1MzUxMjI4MzQ=,345
5,3,MC42NjYwNjY5NTA5NTIyOTE2,346
6,4,MC4yNDM5NTE3ODIwNjUxMTkyNQ==,347
7,5,MC4xNDcwOTUwNjQ5OTk2MDE0NQ==,348
8,6,MC43ODI4ODM4ODIyNjk2Mzg=,349
9,0,MC4zODUyOTc4MzkxOTg4MjEx,350
10,1,MC4xMTE1MjEwMjA4NDUxODE3OA==,351
0,2,MC4yMjA2MTU0Mjc4ODM1NjY4,352
1,3,MC42ODk5NTIxNTUwODgxMDM3,353
2,4,MC42NzA3Mzk5NTY5MTczNDU=,354
3,5,MC4zNDY0ODAxMzUyNDg3NTc=,355
4,6,MC42OTkzNDAwMzgzMzE2NjM5,356
5,0,MC45MDgwMTgxODI2Mzk1MTk0,357
6,1,MC45OTEzNjQxNjAyNzg2OTU2,358
7,2,MC44MTAwODg2MzgzODUxMTQ=,359
8,3,MC40MTIwMjc0MDUxMzY4Mzc2Nw==,360
9,4,MC45NjEyODI3NzcyNzY2MDk2,361
10,5,MC4zMDc2NDk1MDE0ODkxMjU2,362
0,6,MC42MDQ3Mjc5Nzg3MDE5NDQ2,363
1,0,MC45MDAxMjc4NzEzMjUzMTU=,364
2,1,MC40OTQyMjE0NjE2NzA2NDg5NQ==,365
3,2,MC4xOTgwMjg4NjM0NzQxNDE4NA==,366
4,3,MC40NzgxMzU2MTE2Nzc5NzMxNA==,367
5,4,MC41NDc4MDM1MjY1NDI2NTU2,368
6,5,MC4wNzkyNTg3NDI0NzEwMjg5Mw==,369
7,6,MC4wODAxMzE3NzEzMDMxOTQ0OQ==,370
8,0,MC43MDY3MzYxMzQ1MzUzNjE1,371
9,1,MC40NjYyNDk1Mjc1MjczNTc3,372
10,2,MC4zMjY2MTczMDE0ODEwMTUx,373
0,3,MC45MjIwNzI0OTY0MTM1NjU0,374
1,4,MC44OTA2Njc2NTU4NTU2MDYz,375
2,5,MC4yMjcyNzgxNDI3NDMzNzk0Mw==,376
3,6,MC44MjQyNjgzMTQ5OTYyODI0,377
4,0,MC43MjM3MzU3ODYwNTk0MDI5,378
5,1,MC40MDIxMzc3ODU5Nzc3ODUyNw==,379
6,2,MC4zNTcxMDkyMzQ3MTk5MjQ0,380
7,3,MC45MjA0MzQ5ODM4NzE5MTM1,381
8,4,MC43NjU2Nzg0NjcwMjc4ODY2,382
9,5,MC42NTM2Mjg4Nzg5NjUzNTgy,383
10,6,MC4xMzg4NzU2NjkxNTAzMzQ0NQ==,384
0,0,MC40MjQ3ODk5MzE1ODQ3MDEyNA==,385
1,1,MC44NjMxMTU2MTgyNzcyOTY1,386
2,2,MC42Njg1Njg2MjE5MTI5NjEy,387
3,3,MC42MTYzMTU0MDk4MTI1ODcz,388
4,4,MC42NzE4MjAwMDE4MjA5Mzc5,389
5,5,MC45NTUzMzg0MDYwNDE5NzE0,390
6,6,MC4yOTU0NjQ1MDc3MzM4Njcx,391
7,0,MC45NTA2Mjk2OTY3NTUzMzg4,392
8,1,MC4xMTMzOTkyMzIwOTU3OTQ3Mg==,393
9,2,MC45NDg2NjI2NjI5Mjk4MTM5,394
10,3,MC42ODU0MzU2MjU3MjU1Mjgy,395
0,4,MC4zNDM5NDI2OTIyMTM4Mjk4,396
1,5,MC4zMTg0MDYyNDk2OTkzOTE=,397
2,6,MC43MjgwMDIwOTAxMDA2NDkx,398
3,0,MC4wMzM4ODY3NzY5ODQ4ODQ5Ng==,399
4,1,MC4wNTg0MTExNDAyNTc2ODUyMzU=,400
5,2,MC42Njc0MTk4Mzg4MzQ3MjY4,401
6,3,MC40NTgxODU5NDI1NDc3MzU2,402
7,4,MC44MDY5MjM2MDU0MzIwMzAx,403
8,5,MC41NTE3MjI5NDQ3OTM3OTg3,404
9,6,MC4xOTg2NDkyOTU3MDE3ODI1OA==,405
10,0,MC44NzEyMjc3NzI1NjQ4NjA2,406
0,1,MC40MDkxNDI3NjA2MjUyNjcy,407
1,2,MC45MjQ3ODEwMDU1NjYxMDk4,408
2,3,MC4yNTk3MTUwMTExNjg4OTMz,409
3,4,MC44MDMwNzEyNDQ3MTA0MDYx,410
4,5,MC44NjM5MzM5MzMxOTczMzY5,411
5,6,MC4xMDk1NTEzOTcyMjc3ODM3Mw==,412
6,0,MC4xOTgxNjQ5NDk1ODQwMjE3NQ==,413
7,1,MC42OTI2OTgzOTU5OTgxOTQy,414
8,2,MC40ODkxMzcxOTM5ODY5NjA2NQ==,415
9,3,MC4xNDk3NDc5MTg4MzQ4MTk4Ng==,416
10,4,MC42NTAzNDgyMjU0OTQ2NzA1,417
0,5,MC44MTQ2NzE4MzgwOTkzMDI5,418
1,6,MC4wNzE4NDg0OTE5MTkxOTIxOA==,419
2,0,MC40MjM1NjA1MjYzMjU1ODcxNg==,420
3,1,MC41MTg3ODMwMDQyOTM1NzI5,421
4,2,MC40ODE5NzUwODExNTI2NzY3Mw==,422
5,3,MC43NTI4OTY1OTk0MjM4MDQz,423
6,4,MC44NTM1OTk0MjU1NjkxMzQ=,424
7,5,MC43MDk3MTY2MDA1MjI4MzU1,425
8,6,MC40MTg4OTIwMzkzNDM5NTk2,426
9,0,MC45ODg1NjQzNjYwOTY2ODQy,427
10,1,MC4zODkwMjY5Nzg3NTUxODU2Ng==,428
0,2,MC44Njk4NzU5NTMzNTU2MDc5,429
1,3,MC43ODU1MDM5MzUxNzc5ODI0,430
2,4,MC44MDk1ODcwNTExNjQ4NDg1,431
3,5,MC4zMTc0MzQxMDMzMTY3NjQ=,432
4,6,MC4wNDc4NDczOTE3MjExNTExNTY=,433
5,0,MC4yMDUyMDE5Mjg3NzI3Njk3Nw==,434
6,1,MC42OTEyNTMwNjM1OTYzMjI3,435
7,2,MC4wMTI2NDA4NjQ0NDMxNTc1OTY=,436
8,3,MC4xMjU0MzIyMzI0NTkxMDA2Mg==,437
9,4,MC44MjY0NTE5OTI3OTIyMDk0,438
10,5,MC42MDUxNTU3MjQxNDY1MzA1,439
0,6,MC41Njk2ODMzMDk1MjA1Nzky,440
1,0,MC4zNzg1MTMwMTQyOTMzMDEy,441
