tid,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
14,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,,0patients,al_ami-8a
15,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,80%,114patients,al_hf-1
16,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acuxecarehospixals,government-hospitaldistrictorauthority,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,99%,149patients,al_hf-2
17,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),92%,3xpatients,al_hf-3
18,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,100%,41patients,al_hf-4
19,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,98%,270patients,al_ami-1
20,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,99%,516patients,al_ami-2
21,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattaxk,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),96%,71patients,al_ami-3
22,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospxtaldxstrxctorauthorxty,yes,hearxaxxack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,100%,244patients,al_ami-4
23,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,99%,441patients,al_ami-5
24,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,334793870x,acutecarehospitals,government-hospitaldistrictorauthority,yxs,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,0patients,al_ami-7a
25,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,72%,40patients,al_ami-8a
26,10001,southeastalabamamedxcalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,78%,455patients,al_hf-1
27,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitalxistrictorauthority,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,99%,514patients,al_hf-2
28,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),91%,165patients,al_hf-3
29,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,100%,110patients,al_hf-4
30,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,93%,191patients,al_pn-2
31,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,governmenx-hospixaldisxricxorauxhorixy,yes,pneumonia,pn-3b,pneumoniapatientswhoseinitialemergencyroombloodculturewasperformedpriortotheadministrationofthefirsthospitaldoseofantibiotics,89%,125patients,al_pn-3b
32,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,99%,107patients,al_pn-4
33,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,92%,196patients,al_pn-5c
34,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),80%,147patients,al_pn-6
35,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,84%,160patients,al_pn-7
36,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,xx479x8701,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-card-2,surgerypatientswhoweretakingheartdrugscalledbetablockersbeforecomingtothehospitalwhowerekeptonthebetablockersduringtheperiodjustbeforeandaftertheirsurgery,72%,79patients,al_scip-card-2
37,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,94%,399patients,al_scip-inf-1
38,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,98%,405patients,al_scip-inf-2
39,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acxtecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),88%,385patients,al_scip-inf-3
40,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerypatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaysrightaftersurgery,96%,136patients,al_scip-inf-4
41,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),90%,537patients,al_scip-inf-6
42,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,xl,36302,houston,3347938701,acutecarehospitals,gxvernment-hxspitaldistrictxrauthxrity,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,86%,185patients,al_scip-vte-1
43,10001,southeastalabamamedicalcenter,1108rossclarkcircle,,,dothan,al,36302,houston,3347938701,acutecarehospitals,government-hospitaldistrictorauthority,yex,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,83%,184patients,al_scip-vte-2
44,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,x5957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,80%,20patients,al_ami-1
45,x0005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,60%,5patients,al_ami-2
46,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,xl,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),100%,2patients,al_ami-3
47,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,,0patients,al_ami-4
48,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,100%,5patients,al_ami-5
49,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,0patients,al_ami-7a
50,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,xl,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,,0patients,al_ami-8a
51,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yxs,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,78%,110patients,al_hf-1
52,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,99%,160patients,al_hf-2
53,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),90%,69patients,al_hf-3
54,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,94%,34patients,al_hf-4
55,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,97%,172patients,al_pn-2
56,10005,marshallmedicalcentersouth,2505ushighway431north,,,boxz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-3b,pneumoniapatientswhoseinitialemergencyroombloodculturewasperformedpriortotheadministrationofthefirsthospitaldoseofantibiotics,97%,120patients,al_pn-xb
57,10005,marshallmedicalcentersouth,2505xuxsxhighwayx431xnorth,,,boaz,al,35957,marshall,2x6x938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,97%,98patients,al_pn-4
58,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,96%,211patients,al_pn-5c
59,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),92%,175patients,al_pn-6
60,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2x6x938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,81%,118patients,al_pn-7
61,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-card-2,surgerypatientswhoweretakingheartdrugscalledbetablockersbeforecomingtothehospitalwhowerekeptonthebetablockersduringtheperiodjustbeforeandaftertheirsurgery,36%,14patients,al_scip-card-2
62,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,96%,168patients,al_scip-inf-1
63,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,3595x,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,93%,167patients,al_scip-inf-2
64,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),95%,158patients,al_scip-inf-3
65,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565x38310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerypatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaysrightaftersurgery,,0patients,al_scip-inf-4
66,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),100%,237patients,al_scip-inf-6
67,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,mxrshxll,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,78%,76patients,al_scip-vte-1
68,10005,marshallmedicalcentersouth,2505ushighway431north,,,boaz,al,35957,marshall,2565938310,acutecarehospitals,government-hospitaldistrictorauthority,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,74%,76patients,al_scip-vte-2
69,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,97%,159patients,al_amx-1
70,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,3563x,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,96%,247patients,al_ami-2
71,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),93%,43patients,al_ami-3
72,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,laudxrdalx,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,100%,103patients,al_ami-4
73,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,hearxaxxack,ami-5,heartattackpatientsgivenbetablockeratdischarge,96%,227patients,al_ami-5
74,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,0patients,al_ami-7a
75,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,98%,61patients,al_ami-8a
76,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,79%,217patients,al_hf-1
77,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,laudexdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,97%,259patients,al_hf-2
78,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),82%,84patients,al_hf-3
79,10006,elizacoffeememorialhospital,205marengostreet,,,fxorence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,heartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,100%,53patients,al_hf-4
80,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,90%,174patients,al_pn-2
81,1000x,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,pneumonia,pn-3b,pneumoniapatientswhoseinitialemergencyroombloodculturewasperformedpriortotheadministrationofthefirsthospitaldoseofantibiotics,95%,137patients,al_pn-3b
82,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,100%,65patients,al_pn-4
83,10006,elizacoffeememorialhospital,205marengostreet,,,florence,xl,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,96%,200patients,al_pn-5c
84,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),91%,138patients,al_pn-6
85,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,88%,85patients,al_pn-7
86,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-card-2,surgerypatientswhoweretakingheartdrugscalledbetablockersbeforecomingtothehospitalwhowerekeptonthebetablockersduringtheperiodjustbeforeandaftertheirsurgery,96%,107patients,al_scip-card-2
87,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,99%,457patients,al_scip-inf-1
88,10006,elizacoffeememorialhospital,205marengostreet,,,florxncx,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,99%,462patients,al_scip-inf-2
89,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-inf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),94%,439patients,al_scip-inf-3
90,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerypatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaysrightaftersurgery,89%,130patients,al_scip-inf-4
91,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),100%,619paxienxs,al_scip-inf-6
92,10006,elizacoffeememorialhospital,205marengostreet,,,florence,al,35631,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,95%,242patients,al_scip-vte-1
93,10006,elizacoffeememorialhospital,205marengostreet,,,flxrence,al,3563x,lauderdale,2567688400,acutecarehospitals,voluntarynon-profit-other,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,92%,242patients,al_scip-vte-2
94,10007,mizellmemorialhospital,702xnxmainxst,,,opp,al,36467,covington,3344933541,acutecarehospitals,voluntarynon-profit-private,no,heartattack,ami-1,xeartattackpatientsgivenaspirinatarrival,60%,5patients,al_ami-1
95,10007,mizellmemorialhospital,702nmainst,,,opp,al,36467,covington,3344933541,acutecarehospitals,voluntarynon-profit-private,no,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,50%,2patients,al_ami-2
96,10007,mizellmemorialhospital,702nmainst,,,opp,al,36467,covington,3344933541,acutecarehospitals,voluntarynon-profit-private,no,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),,0patients,al_ami-3
97,10007,mizellmemorialhospital,702nmainst,,,opp,al,36467,covington,3344933541,acutecarehospitals,voluntarynon-profit-private,no,heartattack,axi-4,heartattackpatientsgivensmokingcessationadvice/counseling,,0patients,al_ami-4
98,10007,mizellmemorialhospital,702nmainst,,,opp,xl,36467,covington,3344933541,acutecarehosxitals,voluntarynon-profit-private,no,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,100%,2patients,al_ami-5
