index,attribute,correct_val
11,ibu,""
11,brewery_id,177
11,brewery-name,18th Street Brewery
11,city,Gary
11,state,IN
12,id,2098
12,beer-name,Regional Ring Of Fire
12,style,Saison / Farmhouse Ale
12,ounces,12
12,abv,0.073
12,ibu,""
12,brewery_id,177
12,brewery-name,18th Street Brewery
12,city,Gary
12,state,IN
13,id,2097
13,beer-name,Garce Selé
13,style,Saison / Farmhouse Ale
13,ounces,12
13,abv,0.069
13,ibu,""
13,brewery_id,177
13,brewery-name,18th Street Brewery
13,city,Gary
13,state,IN
14,id,1980
14,beer-name,Troll Destroyer
14,style,Belgian IPA
14,ounces,12
14,abv,0.085
14,ibu,""
14,brewery_id,177
14,brewery-name,18th Street Brewery
14,city,Gary
14,state,IN
15,id,1979
15,beer-name,Bitter Bitch
15,style,American Pale Ale (APA)
15,ounces,12
15,abv,0.061
15,ibu,60
15,brewery_id,177
15,brewery-name,18th Street Brewery
15,city,Gary
15,state,IN
16,id,2318
16,beer-name,Ginja Ninja
16,style,Cider
16,ounces,12
16,abv,0.06
16,ibu,""
16,brewery_id,154
16,brewery-name,2 Towns Ciderhouse
16,city,Corvallis
16,state,OR
17,id,2170
17,beer-name,Cherried Away
17,style,Cider
17,ounces,12
17,abv,0.06
17,ibu,""
17,brewery_id,154
17,brewery-name,2 Towns Ciderhouse
17,city,Corvallis
17,state,OR
18,id,2169
18,beer-name,Rhubarbarian
18,style,Cider
18,ounces,12
18,abv,0.06
18,ibu,""
18,brewery_id,154
18,brewery-name,2 Towns Ciderhouse
18,city,Corvallis
18,state,OR
19,id,1502
19,beer-name,BrightCider
19,style,Cider
19,ounces,12
19,abv,0.06
19,ibu,""
19,brewery_id,154
19,brewery-name,2 Towns Ciderhouse
19,city,Corvallis
19,state,OR
20,id,1593
20,beer-name,He Said Baltic-Style Porter
20,style,Baltic Porter
20,ounces,12
20,abv,0.082
20,ibu,""
20,brewery_id,368
20,brewery-name,21st Amendment Brewery
20,city,San Francisco
20,state,CA
21,id,1592
21,beer-name,He Said Belgian-Style Tripel
21,style,Tripel
21,ounces,12
21,abv,0.082
21,ibu,""
21,brewery_id,368
21,brewery-name,21st Amendment Brewery
21,city,San Francisco
21,state,CA
22,id,1036
22,beer-name,Lower De Boom
22,style,American Barleywine
22,ounces,8.4
22,abv,0.099
22,ibu,92
22,brewery_id,368
22,brewery-name,21st Amendment Brewery
22,city,San Francisco
22,state,CA
23,id,1024
23,beer-name,Fireside Chat
23,style,Winter Warmer
23,ounces,12
23,abv,0.079
23,ibu,45
23,brewery_id,368
23,brewery-name,21st Amendment Brewery
23,city,San Francisco
23,state,CA
24,id,976
24,beer-name,Marooned On Hog Island
24,style,American Stout
24,ounces,12
24,abv,0.079
24,ibu,""
24,brewery_id,368
24,brewery-name,21st Amendment Brewery
24,city,San Francisco
24,state,CA
25,id,876
25,beer-name,Bitter American
25,style,American Pale Ale (APA)
25,ounces,12
25,abv,0.044
25,ibu,42
25,brewery_id,368
25,brewery-name,21st Amendment Brewery
25,city,San Francisco
25,state,CA
26,id,802
26,beer-name,Hell or High Watermelon Wheat (2009)
26,style,Fruit / Vegetable Beer
26,ounces,12
26,abv,0.049
26,ibu,17
26,brewery_id,368
26,brewery-name,21st Amendment Brewery
26,city,San Francisco
26,state,CA
27,id,801
27,beer-name,Hell or High Watermelon Wheat (2009)
27,style,Fruit / Vegetable Beer
27,ounces,12
27,abv,0.049
27,ibu,17
27,brewery_id,368
27,brewery-name,21st Amendment Brewery
27,city,San Francisco
27,state,CA
28,id,800
28,beer-name,21st Amendment Watermelon Wheat Beer (2006)
28,style,Fruit / Vegetable Beer
28,ounces,12
28,abv,0.049
28,ibu,17
28,brewery_id,368
28,brewery-name,21st Amendment Brewery
28,city,San Francisco
28,state,CA
29,id,799
29,beer-name,21st Amendment IPA (2006)
29,style,American IPA
29,ounces,12
29,abv,0.07
29,ibu,70
29,brewery_id,368
29,brewery-name,21st Amendment Brewery
29,city,San Francisco
29,state,CA
30,id,797
30,beer-name,Brew Free! or Die IPA (2008)
30,style,American IPA
30,ounces,12
30,abv,0.07
30,ibu,70
30,brewery_id,368
30,brewery-name,21st Amendment Brewery
30,city,San Francisco
30,state,CA
31,id,796
31,beer-name,Brew Free! or Die IPA (2009)
31,style,American IPA
31,ounces,12
31,abv,0.07
31,ibu,70
31,brewery_id,368
31,brewery-name,21st Amendment Brewery
31,city,San Francisco
31,state,CA
32,id,531
32,beer-name,Special Edition: Allies Win The War!
32,style,English Strong Ale
32,ounces,12
32,abv,0.085
32,ibu,52
32,brewery_id,368
32,brewery-name,21st Amendment Brewery
32,city,San Francisco
32,state,CA
33,id,432
33,beer-name,Hop Crisis
33,style,American Double / Imperial IPA
33,ounces,12
33,abv,0.097
33,ibu,94
33,brewery_id,368
33,brewery-name,21st Amendment Brewery
33,city,San Francisco
33,state,CA
34,id,353
34,beer-name,Bitter American (2011)
34,style,American Pale Ale (APA)
34,ounces,12
34,abv,0.044
34,ibu,42
34,brewery_id,368
34,brewery-name,21st Amendment Brewery
34,city,San Francisco
34,state,CA
35,id,321
35,beer-name,Fireside Chat (2010)
35,style,Winter Warmer
35,ounces,12
35,abv,0.079
35,ibu,45
35,brewery_id,368
35,brewery-name,21st Amendment Brewery
35,city,San Francisco
35,state,CA
36,id,173
36,beer-name,Back in Black
36,style,American Black Ale
36,ounces,12
36,abv,0.068
36,ibu,65
36,brewery_id,368
36,brewery-name,21st Amendment Brewery
36,city,San Francisco
36,state,CA
37,id,11
37,beer-name,Monk's Blood
37,style,Belgian Dark Ale
37,ounces,12
37,abv,0.083
37,ibu,35
37,brewery_id,368
37,brewery-name,21st Amendment Brewery
37,city,San Francisco
37,state,CA
38,id,10
38,beer-name,Brew Free! or Die IPA
38,style,American IPA
38,ounces,12
38,abv,0.07
38,ibu,65
38,brewery_id,368
38,brewery-name,21st Amendment Brewery
38,city,San Francisco
38,state,CA
39,id,9
39,beer-name,Hell or High Watermelon Wheat
39,style,Fruit / Vegetable Beer
39,ounces,12
39,abv,0.049
39,ibu,17
39,brewery_id,368
39,brewery-name,21st Amendment Brewery
39,city,San Francisco
39,state,CA
40,id,2519
40,beer-name,Bimini Twist
40,style,American IPA
40,ounces,12
40,abv,0.07
40,ibu,82
40,brewery_id,67
40,brewery-name,3 Daughters Brewing
40,city,St Petersburg
40,state,FL
41,id,2518
41,beer-name,Beach Blonde
41,style,American Blonde Ale
41,ounces,12
41,abv,0.05
41,ibu,""
41,brewery_id,67
41,brewery-name,3 Daughters Brewing
41,city,St Petersburg
41,state,FL
42,id,2517
42,beer-name,Rod Bender Red
42,style,American Amber / Red Ale
42,ounces,12
42,abv,0.059
42,ibu,""
42,brewery_id,67
42,brewery-name,3 Daughters Brewing
42,city,St Petersburg
42,state,FL
43,id,2545
43,beer-name,Passion Fruit Prussia
43,style,Berliner Weissbier
43,ounces,12
43,abv,0.035
43,ibu,11
43,brewery_id,60
43,brewery-name,4 Hands Brewing Company
43,city,Saint Louis
43,state,MO
44,id,2544
44,beer-name,Send Help
44,style,American Blonde Ale
44,ounces,12
44,abv,0.045
44,ibu,18
44,brewery_id,60
44,brewery-name,4 Hands Brewing Company
44,city,Saint Louis
44,state,MO
45,id,2324
45,beer-name,Cast Iron Oatmeal Brown
45,style,American Brown Ale
45,ounces,12
45,abv,0.055
45,ibu,""
45,brewery_id,60
45,brewery-name,4 Hands Brewing Company
45,city,Saint Louis
45,state,MO
46,id,2288
46,beer-name,Reprise Centennial Red
46,style,American Amber / Red Ale
46,ounces,12
46,abv,0.06
46,ibu,""
46,brewery_id,60
46,brewery-name,4 Hands Brewing Company
46,city,Saint Louis
46,state,MO
47,id,2287
47,beer-name,Alter Ego
47,style,American Black Ale
47,ounces,12
47,abv,0.055
47,ibu,""
47,brewery_id,60
47,brewery-name,4 Hands Brewing Company
47,city,Saint Louis
47,state,MO
48,id,2286
48,beer-name,Divided Sky
48,style,American IPA
48,ounces,12
48,abv,0.065
48,ibu,""
48,brewery_id,60
48,brewery-name,4 Hands Brewing Company
48,city,Saint Louis
48,state,MO
49,id,2285
49,beer-name,Resurrected
49,style,American IPA
49,ounces,12
49,abv,0.065
49,ibu,""
49,brewery_id,60
49,brewery-name,4 Hands Brewing Company
49,city,Saint Louis
49,state,MO
50,id,1870
50,beer-name,Contact High
50,style,American Pale Wheat Ale
50,ounces,12
50,abv,0.05
50,ibu,28
50,brewery_id,60
50,brewery-name,4 Hands Brewing Company
50,city,Saint Louis
50,state,MO
51,id,2603
51,beer-name,Galaxyfest
51,style,American IPA
51,ounces,16
51,abv,0.065
51,ibu,""
51,brewery_id,27
51,brewery-name,450 North Brewing Company
51,city,Columbus
51,state,IN
52,id,2602
52,beer-name,Citrafest
52,style,American IPA
52,ounces,16
52,abv,0.05
52,ibu,45
52,brewery_id,27
52,brewery-name,450 North Brewing Company
52,city,Columbus
52,state,IN
53,id,2220
53,beer-name,Barn Yeti
53,style,Belgian Strong Dark Ale
53,ounces,16
53,abv,0.09
53,ibu,""
53,brewery_id,27
53,brewery-name,450 North Brewing Company
53,city,Columbus
53,state,IN
54,id,2219
54,beer-name,Scarecrow
54,style,American IPA
54,ounces,16
54,abv,0.069
54,ibu,65
54,brewery_id,27
54,brewery-name,450 North Brewing Company
54,city,Columbus
54,state,IN
55,id,2218
55,beer-name,Ironman
55,style,English Strong Ale
55,ounces,16
55,abv,0.09
55,ibu,50
55,brewery_id,27
55,brewery-name,450 North Brewing Company
55,city,Columbus
55,state,IN
56,id,2217
56,beer-name,Honey Kolsch
56,style,Kölsch
56,ounces,16
56,abv,0.046
56,ibu,15
56,brewery_id,27
56,brewery-name,450 North Brewing Company
56,city,Columbus
56,state,IN
57,id,2216
57,beer-name,Copperhead Amber
57,style,Belgian Dark Ale
57,ounces,16
57,abv,0.052
57,ibu,18
57,brewery_id,27
57,brewery-name,450 North Brewing Company
57,city,Columbus
57,state,IN
58,id,972
58,beer-name,Rude Parrot IPA
58,style,American IPA
58,ounces,16
58,abv,0.059
58,ibu,75
58,brewery_id,481
58,brewery-name,7 Seas Brewing Company
58,city,Gig Harbor
58,state,WA
59,id,866
59,beer-name,British Pale Ale (2010)
59,style,English Pale Ale
59,ounces,16
59,abv,0.054
59,ibu,30
59,brewery_id,481
59,brewery-name,7 Seas Brewing Company
59,city,Gig Harbor
59,state,WA
60,id,48
60,beer-name,British Pale Ale
60,style,English Pale Ale
60,ounces,16
60,abv,0.054
60,ibu,30
60,brewery_id,481
60,brewery-name,7 Seas Brewing Company
60,city,Gig Harbor
60,state,WA
61,id,47
61,beer-name,Ballz Deep Double IPA
61,style,American Double / Imperial IPA
61,ounces,16
61,abv,0.084
61,ibu,82
61,brewery_id,481
61,brewery-name,7 Seas Brewing Company
61,city,Gig Harbor
61,state,WA
62,id,1583
62,beer-name,Wolfman's Berliner
62,style,Berliner Weissbier
62,ounces,12
62,abv,0.038
62,ibu,""
62,brewery_id,373
62,brewery-name,7venth Sun
62,city,Dunedin
62,state,FL
63,id,1165
63,beer-name,Colorado Native
63,style,American Amber / Red Lager
63,ounces,12
63,abv,0.055
63,ibu,26
63,brewery_id,462
63,brewery-name,AC Golden Brewing Company
63,city,Golden
63,state,CO
64,id,431
64,beer-name,Colorado Native (2011)
64,style,American Amber / Red Lager
64,ounces,12
64,abv,0.055
64,ibu,26
64,brewery_id,462
64,brewery-name,AC Golden Brewing Company
64,city,Golden
64,state,CO
65,id,516
65,beer-name,Jockamo IPA
65,style,American IPA
65,ounces,12
65,abv,0.065
65,ibu,52
65,brewery_id,533
65,brewery-name,Abita Brewing Company
65,city,Abita Springs
65,state,LA
66,id,515
66,beer-name,Purple Haze
66,style,Fruit / Vegetable Beer
66,ounces,12
66,abv,0.042
66,ibu,13
66,brewery_id,533
66,brewery-name,Abita Brewing Company
66,city,Abita Springs
66,state,LA
67,id,514
67,beer-name,Abita Amber
67,style,American Amber / Red Lager
67,ounces,12
67,abv,0.045
67,ibu,17
67,brewery_id,533
67,brewery-name,Abita Brewing Company
67,city,Abita Springs
67,state,LA
68,id,2540
68,beer-name,Citra Ass Down
68,style,American IPA
68,ounces,16
68,abv,0.082
68,ibu,68
68,brewery_id,62
68,brewery-name,Against The Grain Brewery
68,city,Louisville
68,state,KY
69,id,2539
69,beer-name,The Brown Note
69,style,American Brown Ale
69,ounces,16
69,abv,0.05
69,ibu,20
69,brewery_id,62
69,brewery-name,Against The Grain Brewery
69,city,Louisville
69,state,KY
70,id,2686
70,beer-name,Citra Ass Down
70,style,American Double / Imperial IPA
70,ounces,16
70,abv,0.08
70,ibu,68
70,brewery_id,1
70,brewery-name,Against the Grain Brewery
70,city,Louisville
70,state,KY
71,id,2685
71,beer-name,London Balling
71,style,English Barleywine
71,ounces,16
71,abv,0.125
71,ibu,80
71,brewery_id,1
71,brewery-name,Against the Grain Brewery
71,city,Louisville
71,state,KY
72,id,2684
72,beer-name,35 K
72,style,Milk / Sweet Stout
72,ounces,16
72,abv,0.077
72,ibu,25
72,brewery_id,1
72,brewery-name,Against the Grain Brewery
72,city,Louisville
72,state,KY
73,id,2683
73,beer-name,A Beer
73,style,American Pale Ale (APA)
73,ounces,16
73,abv,0.042
73,ibu,42
73,brewery_id,1
73,brewery-name,Against the Grain Brewery
73,city,Louisville
73,state,KY
74,id,2682
74,beer-name,Rules are Rules
74,style,German Pilsener
74,ounces,16
74,abv,0.05
74,ibu,25
74,brewery_id,1
74,brewery-name,Against the Grain Brewery
74,city,Louisville
74,state,KY
75,id,2681
75,beer-name,Flesh Gourd'n
75,style,Pumpkin Ale
75,ounces,16
75,abv,0.066
75,ibu,21
75,brewery_id,1
75,brewery-name,Against the Grain Brewery
75,city,Louisville
75,state,KY
76,id,2680
76,beer-name,Sho'nuff
76,style,Belgian Pale Ale
76,ounces,16
76,abv,0.04
76,ibu,13
76,brewery_id,1
76,brewery-name,Against the Grain Brewery
76,city,Louisville
76,state,KY
77,id,2679
77,beer-name,Bloody Show
77,style,American Pilsner
77,ounces,16
77,abv,0.055
77,ibu,17
77,brewery_id,1
77,brewery-name,Against the Grain Brewery
77,city,Louisville
77,state,KY
78,id,2678
78,beer-name,Rico Sauvin
78,style,American Double / Imperial IPA
78,ounces,16
78,abv,0.076
78,ibu,68
78,brewery_id,1
78,brewery-name,Against the Grain Brewery
78,city,Louisville
78,state,KY
79,id,2677
79,beer-name,Coq de la Marche
79,style,Saison / Farmhouse Ale
79,ounces,16
79,abv,0.051
79,ibu,38
79,brewery_id,1
79,brewery-name,Against the Grain Brewery
79,city,Louisville
79,state,KY
80,id,2676
80,beer-name,Kamen Knuddeln
80,style,American Wild Ale
80,ounces,16
80,abv,0.065
80,ibu,""
80,brewery_id,1
80,brewery-name,Against the Grain Brewery
80,city,Louisville
80,state,KY
81,id,2675
81,beer-name,Pile of Face
81,style,American IPA
81,ounces,16
81,abv,0.06
81,ibu,65
81,brewery_id,1
81,brewery-name,Against the Grain Brewery
81,city,Louisville
81,state,KY
82,id,2674
82,beer-name,The Brown Note
82,style,English Brown Ale
82,ounces,16
82,abv,0.05
82,ibu,20
82,brewery_id,1
82,brewery-name,Against the Grain Brewery
82,city,Louisville
82,state,KY
83,id,1594
83,beer-name,Maylani's Coconut Stout
83,style,American Stout
83,ounces,16
83,abv,0.053
83,ibu,35
83,brewery_id,367
83,brewery-name,Airways Brewing Company
83,city,Kent
83,state,WA
84,id,1162
84,beer-name,Oatmeal PSA
84,style,American Pale Ale (APA)
84,ounces,16
84,abv,0.05
84,ibu,35
84,brewery_id,367
84,brewery-name,Airways Brewing Company
84,city,Kent
84,state,WA
85,id,1137
85,beer-name,Pre Flight Pilsner
85,style,American Pilsner
85,ounces,16
85,abv,0.052
85,ibu,33
85,brewery_id,367
85,brewery-name,Airways Brewing Company
85,city,Kent
85,state,WA
86,id,2403
86,beer-name,P-Town Pilsner
86,style,American Pilsner
86,ounces,12
86,abv,0.04
86,ibu,20
86,brewery_id,117
86,brewery-name,Alameda Brewing
86,city,Portland
86,state,OR
87,id,2402
87,beer-name,Klickitat Pale Ale
87,style,American Pale Ale (APA)
87,ounces,12
87,abv,0.053
87,ibu,36
87,brewery_id,117
87,brewery-name,Alameda Brewing
87,city,Portland
87,state,OR
88,id,2401
88,beer-name,Yellow Wolf Imperial IPA
88,style,American Double / Imperial IPA
88,ounces,12
88,abv,0.082
88,ibu,103
88,brewery_id,117
88,brewery-name,Alameda Brewing
88,city,Portland
88,state,OR
89,id,1921
89,beer-name,Freeride APA
89,style,American Pale Ale (APA)
89,ounces,12
89,abv,0.053
89,ibu,40
89,brewery_id,270
89,brewery-name,Alaskan Brewing Company
89,city,Juneau
89,state,AK
90,id,1920
90,beer-name,Alaskan Amber
90,style,Altbier
90,ounces,12
90,abv,0.053
90,ibu,18
90,brewery_id,270
90,brewery-name,Alaskan Brewing Company
90,city,Juneau
90,state,AK
91,id,2501
91,beer-name,Hopalicious
91,style,American Pale Ale (APA)
91,ounces,12
91,abv,0.057
91,ibu,""
91,brewery_id,73
91,brewery-name,Ale Asylum
91,city,Madison
91,state,WI
92,id,1535
92,beer-name,Kentucky Kölsch
92,style,Kölsch
92,ounces,16
92,abv,0.043
92,ibu,""
92,brewery_id,388
92,brewery-name,Alltech's Lexington Brewing Company
92,city,Lexington
92,state,KY
93,id,1149
93,beer-name,Kentucky IPA
93,style,American IPA
93,ounces,16
93,abv,0.065
93,ibu,""
93,brewery_id,388
93,brewery-name,Alltech's Lexington Brewing Company
93,city,Lexington
93,state,KY
94,id,1474
94,beer-name,Dusty Trail Pale Ale
94,style,American Pale Ale (APA)
94,ounces,16
94,abv,0.054
94,ibu,""
94,brewery_id,401
94,brewery-name,Amnesia Brewing Company
94,city,Washougal
94,state,WA
95,id,1473
95,beer-name,Damnesia
95,style,American IPA
95,ounces,16
95,abv,0.062
95,ibu,""
95,brewery_id,401
95,brewery-name,Amnesia Brewing Company
95,city,Washougal
95,state,WA
96,id,837
96,beer-name,Desolation IPA
96,style,American IPA
96,ounces,16
96,abv,0.062
96,ibu,43
96,brewery_id,401
96,brewery-name,Amnesia Brewing Company
96,city,Washougal
96,state,WA
97,id,2592
97,beer-name,Liberty Ale
97,style,American IPA
97,ounces,12
97,abv,0.059
97,ibu,""
97,brewery_id,35
97,brewery-name,Anchor Brewing Company
97,city,San Francisco
97,state,CA
98,id,2578
98,beer-name,IPA
98,style,American IPA
98,ounces,12
98,abv,0.065
98,ibu,""
98,brewery_id,35
98,brewery-name,Anchor Brewing Company
98,city,San Francisco
98,state,CA
99,id,2577
99,beer-name,Summer Wheat
99,style,American Pale Wheat Ale
99,ounces,12
99,abv,0.045
99,ibu,""
99,brewery_id,35
99,brewery-name,Anchor Brewing Company
99,city,San Francisco
99,state,CA
100,id,2103
100,beer-name,California Lager
100,style,American Amber / Red Lager
100,ounces,12
100,abv,0.049
100,ibu,""
100,brewery_id,35
100,brewery-name,Anchor Brewing Company
100,city,San Francisco
100,state,CA
101,id,2102
101,beer-name,Brotherhood Steam
101,style,California Common / Steam Beer
101,ounces,12
101,abv,0.056
101,ibu,""
101,brewery_id,35
101,brewery-name,Anchor Brewing Company
101,city,San Francisco
101,state,CA
102,id,2291
102,beer-name,Blood Orange Gose
102,style,Gose
102,ounces,12
102,abv,0.042
102,ibu,""
102,brewery_id,171
102,brewery-name,Anderson Valley Brewing Company
102,city,Boonville
102,state,CA
103,id,1818
103,beer-name,Keebarlin' Pale Ale
103,style,American Pale Ale (APA)
103,ounces,12
103,abv,0.042
103,ibu,""
103,brewery_id,171
103,brewery-name,Anderson Valley Brewing Company
103,city,Boonville
103,state,CA
104,id,1738
104,beer-name,"the Kimmie, the Yink and the Holy Gose"
104,style,Gose
104,ounces,12
104,abv,0.048
104,ibu,""
104,brewery_id,171
104,brewery-name,Anderson Valley Brewing Company
104,city,Boonville
104,state,CA
105,id,1563
105,beer-name,Fall Hornin'
105,style,Pumpkin Ale
105,ounces,12
105,abv,0.06
105,ibu,""
105,brewery_id,171
105,brewery-name,Anderson Valley Brewing Company
105,city,Boonville
105,state,CA
106,id,1520
106,beer-name,Barney Flats Oatmeal Stout
106,style,Oatmeal Stout
106,ounces,12
106,abv,0.057
106,ibu,13
106,brewery_id,171
106,brewery-name,Anderson Valley Brewing Company
106,city,Boonville
106,state,CA
107,id,1350
107,beer-name,Summer Solstice
107,style,Cream Ale
107,ounces,12
107,abv,0.056
107,ibu,4
107,brewery_id,171
107,brewery-name,Anderson Valley Brewing Company
107,city,Boonville
107,state,CA
108,id,1327
108,beer-name,Hop Ottin' IPA
108,style,American IPA
108,ounces,12
108,abv,0.07
108,ibu,80
108,brewery_id,171
108,brewery-name,Anderson Valley Brewing Company
108,city,Boonville
108,state,CA
109,id,1326
109,beer-name,Boont Amber Ale
109,style,American Amber / Red Ale
109,ounces,12
109,abv,0.058
109,ibu,15
109,brewery_id,171
109,brewery-name,Anderson Valley Brewing Company
109,city,Boonville
109,state,CA
110,id,1221
110,beer-name,Barney Flats Oatmeal Stout
110,style,Oatmeal Stout
110,ounces,12
110,abv,0.057
110,ibu,13
110,brewery_id,171
110,brewery-name,Anderson Valley Brewing Company
110,city,Boonville
110,state,CA
111,id,1217
111,beer-name,El Steinber Dark Lager
111,style,Vienna Lager
111,ounces,16
111,abv,0.055
111,ibu,25
111,brewery_id,171
111,brewery-name,Anderson Valley Brewing Company
111,city,Boonville
111,state,CA
112,id,811
112,beer-name,Boont Amber Ale (2010)
112,style,American Amber / Red Ale
112,ounces,12
112,abv,0.058
112,ibu,15
112,brewery_id,171
112,brewery-name,Anderson Valley Brewing Company
112,city,Boonville
112,state,CA
113,id,753
113,beer-name,Summer Solstice Cerveza Crema (2009)
113,style,Cream Ale
113,ounces,12
113,abv,0.056
113,ibu,4
113,brewery_id,171
113,brewery-name,Anderson Valley Brewing Company
113,city,Boonville
113,state,CA
114,id,572
114,beer-name,Barney Flats Oatmeal Stout (2012)
114,style,Oatmeal Stout
114,ounces,12
114,abv,0.057
114,ibu,13
114,brewery_id,171
114,brewery-name,Anderson Valley Brewing Company
114,city,Boonville
114,state,CA
115,id,523
115,beer-name,Winter Solstice
115,style,Winter Warmer
115,ounces,12
115,abv,0.069
115,ibu,6
115,brewery_id,171
115,brewery-name,Anderson Valley Brewing Company
115,city,Boonville
115,state,CA
116,id,367
116,beer-name,Hop Ottin' IPA (2011)
116,style,American IPA
116,ounces,12
116,abv,0.07
116,ibu,80
116,brewery_id,171
116,brewery-name,Anderson Valley Brewing Company
116,city,Boonville
116,state,CA
117,id,78
117,beer-name,Boont Amber Ale (2011)
117,style,American Amber / Red Ale
117,ounces,12
117,abv,0.058
117,ibu,15
117,brewery_id,171
117,brewery-name,Anderson Valley Brewing Company
117,city,Boonville
117,state,CA
118,id,77
118,beer-name,Summer Solstice (2011)
118,style,Cream Ale
118,ounces,12
118,abv,0.056
118,ibu,4
118,brewery_id,171
118,brewery-name,Anderson Valley Brewing Company
118,city,Boonville
118,state,CA
119,id,76
119,beer-name,Poleeko Gold Pale Ale (2009)
119,style,American Pale Ale (APA)
119,ounces,12
119,abv,0.055
119,ibu,28
119,brewery_id,171
119,brewery-name,Anderson Valley Brewing Company
119,city,Boonville
119,state,CA
120,id,2337
120,beer-name,Charlie's Rye IPA
120,style,American IPA
120,ounces,16
120,abv,0.06
120,ibu,""
120,brewery_id,146
120,brewery-name,Angry Minnow
120,city,Hayward
120,state,WI
121,id,410
121,beer-name,River Pig Pale Ale
121,style,American Pale Ale (APA)
121,ounces,16
121,abv,0.054
121,ibu,""
121,brewery_id,542
121,brewery-name,Angry Minnow Brewing Company
121,city,Hayward
121,state,WI
122,id,409
122,beer-name,Oaky's Oatmeal Stout
122,style,Oatmeal Stout
122,ounces,16
122,abv,0.047
122,ibu,""
122,brewery_id,542
122,brewery-name,Angry Minnow Brewing Company
122,city,Hayward
122,state,WI
123,id,1294
123,beer-name,Angry Orchard Apple Ginger
123,style,Cider
123,ounces,16
123,abv,0.05
123,ibu,""
123,brewery_id,434
123,brewery-name,Angry Orchard Cider Company
123,city,Cincinnati
123,state,OH
124,id,1293
124,beer-name,Angry Orchard Crisp Apple
124,style,Cider
124,ounces,16
124,abv,0.05
124,ibu,""
124,brewery_id,434
124,brewery-name,Angry Orchard Cider Company
124,city,Cincinnati
124,state,OH
125,id,1292
125,beer-name,Angry Orchard Crisp Apple
125,style,Cider
125,ounces,12
125,abv,0.05
125,ibu,""
125,brewery_id,434
125,brewery-name,Angry Orchard Cider Company
125,city,Cincinnati
125,state,OH
126,id,2207
126,beer-name,Golden One
126,style,Belgian Pale Ale
126,ounces,12
126,abv,0.068
126,ibu,""
126,brewery_id,193
126,brewery-name,Anthem Brewing Company
126,city,Oklahoma City
126,state,OK
127,id,2040
127,beer-name,Arjuna
127,style,Witbier
127,ounces,12
127,abv,0.06
127,ibu,""
127,brewery_id,193
127,brewery-name,Anthem Brewing Company
127,city,Oklahoma City
127,state,OK
128,id,2039
128,beer-name,Uroboros
128,style,American Stout
128,ounces,12
128,abv,0.085
128,ibu,""
128,brewery_id,193
128,brewery-name,Anthem Brewing Company
128,city,Oklahoma City
128,state,OK
129,id,2511
129,beer-name,Long Leaf
129,style,American IPA
129,ounces,16
129,abv,0.071
129,ibu,75
129,brewery_id,69
129,brewery-name,Appalachian Mountain Brewery
129,city,Boone
129,state,NC
130,id,2510
130,beer-name,Honey Badger Blonde
130,style,American Blonde Ale
130,ounces,16
130,abv,0.047
130,ibu,19
130,brewery_id,69
130,brewery-name,Appalachian Mountain Brewery
130,city,Boone
130,state,NC
131,id,2509
