id,attribute,correct_val
729686,jounral_abbreviation,Int J Clin Exp Med
729686,journal_issn,1940-5901
729686,article_jvolumn,8
729686,article_jissue,6
729686,article_jcreated_at,1/15/01
729686,article_pagination,10213-10224
729686,author_list,"\"{\"\"Yang M\"\""
278396,article_title,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection
278396,article_language,eng
278396,journal_title,Acta Obstet Gynecol Scand
278396,jounral_abbreviation,Acta obstetricia et gynecologica Scandinavica
278396,journal_issn,0001-6349 (Print) 0001-6349
278396,article_jvolumn,92
278396,article_jissue,6
278396,article_jcreated_at,1/13/01
278396,article_pagination,711-5
278396,author_list,"\"{\"\"T. S. Mikkola\"\""
965082,article_title,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping
965082,article_language,""
965082,journal_title,Heart Rhythm
965082,jounral_abbreviation,""
965082,journal_issn,1547-5271
965082,article_jvolumn,8
965082,article_jissue,5
965082,article_jcreated_at,1/11/01
965082,article_pagination,S40
965082,author_list,"\"{\"\"C. Hamilton-Craig\"\""
53321,article_title,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures
53321,article_language,eng
53321,journal_title,""
53321,jounral_abbreviation,""
53321,journal_issn,""
53321,article_jvolumn,35
53321,article_jissue,8
53321,article_jcreated_at,1/11/01
53321,article_pagination,1245-50
53321,author_list,"\"{\"\"T. Topp\"\""
13601,article_title,Latex allergy in atopic children.
13601,article_language,eng
13601,journal_title,British Journal of Dermatology.
13601,jounral_abbreviation,""
13601,journal_issn,0007-0963
13601,article_jvolumn,140
13601,article_jissue,5
13601,article_jcreated_at,5/1/99
13601,article_pagination,919-21
13601,author_list,"\"{\"\"R S Lever\"\""
668310,article_title,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese."
668310,article_language,eng
668310,journal_title,Clinical Interventions In Aging
668310,jounral_abbreviation,Clin Interv Aging
668310,journal_issn,1178-1998
668310,article_jvolumn,7
668310,article_jissue,-1
668310,article_jcreated_at,1/12/01
668310,article_pagination,185-90
668310,author_list,"\"{\"\"Andreas Kruse\"\""
282987,article_title,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17"
282987,article_language,eng
282987,journal_title,Cochrane Database Syst Rev
282987,jounral_abbreviation,""
282987,journal_issn,1469-493X
282987,article_jvolumn,0
282987,article_jissue,4
282987,article_jcreated_at,1/5/01
282987,article_pagination,Cd004797
282987,author_list,"\"{\"\"J. H. Littell\"\""
478292,article_title,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.
478292,article_language,eng
478292,journal_title,Acta Neurochirurgica
478292,jounral_abbreviation,""
478292,journal_issn,Jan-68
478292,article_jvolumn,139
478292,article_jissue,3
478292,article_jcreated_at,1/1/97
478292,article_pagination,257-8
478292,author_list,"\"{\"\"Y Takagi\"\""
43736,article_title,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.
43736,article_language,eng
43736,journal_title,Medicine and science in sports and exercise
43736,jounral_abbreviation,Med Sci Sports Exerc
43736,journal_issn,0195-9131
43736,article_jvolumn,39
43736,article_jissue,6
43736,article_jcreated_at,1/7/06
43736,article_pagination,991-5
43736,author_list,"\"{\"\"James C Martin\"\""
82614,article_title,"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice."
82614,article_language,eng
82614,journal_title,"Cancer prevention research (Philadelphia, Pa.)"
82614,jounral_abbreviation,Cancer Prev Res (Phila)
82614,journal_issn,1940-6215
82614,article_jvolumn,6
82614,article_jissue,12
82614,article_jcreated_at,1/13/12
82614,article_pagination,1304-16
82614,author_list,"\"{\"\"Lynne M Ausman\"\""
163526,article_title,A performance improvement process to tackle tachysystole
163526,article_language,English
163526,journal_title,""
163526,jounral_abbreviation,""
163526,journal_issn,""
163526,article_jvolumn,40
163526,article_jissue,0
163526,article_jcreated_at,1/11/01
163526,article_pagination,512-9 ST  - A performance improvement process to tackle tachysystole-
163526,author_list,"\"{\"\"V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen\"\""
514411,article_title,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.
514411,article_language,eng
514411,journal_title,Cardiovascular and interventional radiology
514411,jounral_abbreviation,Cardiovasc Intervent Radiol
514411,journal_issn,1432-086X
514411,article_jvolumn,37
514411,article_jissue,6
514411,article_jcreated_at,1/14/12
514411,article_pagination,1530-9
514411,author_list,"\"{\"\"Luca Maria Sconfienza\"\""
569841,article_title,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.
569841,article_language,eng
569841,journal_title,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
569841,jounral_abbreviation,J. Clin. Oncol.
569841,journal_issn,1527-7755
569841,article_jvolumn,27
569841,article_jissue,15
569841,article_jcreated_at,5/20/09
569841,article_pagination,2496-502
569841,author_list,"\"{\"\"Ariela Noy\"\""
6207,article_title,Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease
6207,article_language,""
6207,journal_title,Scandinavian Journal of Gastroenterology
6207,jounral_abbreviation,""
6207,journal_issn,""
6207,article_jvolumn,47
6207,article_jissue,7
6207,article_jcreated_at,1/12/01
6207,article_pagination,785-794
6207,author_list,"\"{\"\"Kaija Leena Kolho\"\""
21910,article_title,Examining waiting placement in hospital: utilization and the lived experience.
21910,article_language,eng
21910,journal_title,Global journal of health science
21910,jounral_abbreviation,Glob J Health Sci
21910,journal_issn,1916-9736
21910,article_jvolumn,6
21910,article_jissue,2
21910,article_jcreated_at,1/14/03
21910,article_pagination,22-Dec
21910,author_list,"\"{\"\"Donna M Wilson\"\""
378490,article_title,"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects."
378490,article_language,eng
378490,journal_title,The Journal of clinical psychiatry
378490,jounral_abbreviation,J Clin Psychiatry
378490,journal_issn,1555-2101
378490,article_jvolumn,69
378490,article_jissue,12
378490,article_jcreated_at,1/8/12
378490,article_pagination,1892-900
378490,author_list,"\"{\"\"Isabella Soreca\"\""
971878,article_title,Diminished A-cell secretion in the early phase of type I diabetes mellitus
971878,article_language,English
971878,journal_title,Metabolism: Clinical and Experimental
971878,jounral_abbreviation,""
971878,journal_issn,""
971878,article_jvolumn,35
971878,article_jissue,11
971878,article_jcreated_at,1/1/86
971878,article_pagination,1074-1077
971878,author_list,"\"{\"\"S. Srikanta\"\""
793918,article_title,Strong stability and host specific bacterial community in faeces of ponies.
793918,article_language,eng
793918,journal_title,PLoS One
793918,jounral_abbreviation,PloS one
793918,journal_issn,1932-6203
793918,article_jvolumn,8
793918,article_jissue,9
793918,article_jcreated_at,1/13/01
793918,article_pagination,e75079
793918,author_list,"\"{\"\"Tina M Blackmore\"\""
819166,article_title,"\"Responses to open peer commentaries on \"\"the subjective brain"
819166,article_language,identity
819166,journal_title,"and neuroethics\"\"\""
819166,jounral_abbreviation,English
819166,journal_issn,American Journal of Bioethics
819166,article_jvolumn,""
819166,article_jissue,15265161 (ISSN)
819166,article_jcreated_at,9
819166,article_pagination,9
819166,author_list,1/9/01
880881,article_title,[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].
880881,article_language,kor
880881,journal_title,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi
880881,jounral_abbreviation,Korean J Gastroenterol
880881,journal_issn,1598-9992
880881,article_jvolumn,52
880881,article_jissue,6
880881,article_jcreated_at,1/8/12
880881,article_pagination,384-8
880881,author_list,"\"{\"\"Seung Woo Park\"\""
629530,article_title,Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.
629530,article_language,eng
629530,journal_title,Eur. Heart J.
629530,jounral_abbreviation,""
629530,journal_issn,0195-668X
629530,article_jvolumn,28
629530,article_jissue,17
629530,article_jcreated_at,1/7/09
629530,article_pagination,2077-86
629530,author_list,"\"{\"\"Carolyn H McCabe\"\""
954388,article_title,Optimal Starting Age for School Attendance: FY76 Issue Analysis
954388,article_language,English
954388,journal_title,""
954388,jounral_abbreviation,""
954388,journal_issn,""
954388,article_jvolumn,0
954388,article_jissue,0
954388,article_jcreated_at,1/1/74
954388,article_pagination,46
954388,author_list,"\"{\"\"Marilou Madden\"\"}\""
379737,article_title,Bone density and body composition in young women with chronic fatigue syndrome.
379737,article_language,eng
379737,journal_title,Neuroprotective Agents
379737,jounral_abbreviation,""
379737,journal_issn,0077-8923
379737,article_jvolumn,904
379737,article_jissue,-1
379737,article_jcreated_at,5/1/00
379737,article_pagination,625-7
379737,author_list,"\"{\"\"F Gates\"\""
676042,article_title,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.
676042,article_language,eng
676042,journal_title,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
676042,jounral_abbreviation,J Stroke Cerebrovasc Dis
676042,journal_issn,1532-8511
676042,article_jvolumn,24
676042,article_jissue,2
676042,article_jcreated_at,1/15/02
676042,article_pagination,362-9
676042,author_list,"\"{\"\"Yan-Xin Zhao\"\""
353972,article_title,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria."
353972,article_language,""
353972,journal_title,Vulnerable Children and Youth Studies
353972,jounral_abbreviation,""
353972,journal_issn,1745-0128 1745-0136
353972,article_jvolumn,3
353972,article_jissue,3
353972,article_jcreated_at,1/8/01
353972,article_pagination,243-248
353972,author_list,"\"{\"\"B O Olley\"\"}\""
968125,article_title,Successful treatment of lung cancer by multimodal endobronchial interventions
968125,article_language,English
968125,journal_title,Respiration; international review of thoracic diseases
968125,jounral_abbreviation,Respiration
968125,journal_issn,0025-7931
968125,article_jvolumn,88
968125,article_jissue,2
968125,article_jcreated_at,1/14/01
968125,article_pagination,144-147
968125,author_list,"\"{\"\"T. Nakajima\"\""
660168,article_title,Fat and neurosurgery: does obesity affect outcome after intracranial surgery?
660168,article_language,eng
660168,journal_title,Neurosurgery
660168,jounral_abbreviation,Neurosurgery
660168,journal_issn,1524-4040
660168,article_jvolumn,64
660168,article_jissue,2
660168,article_jcreated_at,1/9/02
660168,article_pagination,316-26; discussion 326-7
660168,author_list,"\"{\"\"R Loch Macdonald\"\""
732534,article_title,Out of harm's way: curbing violence in the ED
732534,article_language,English
732534,journal_title,Health Facilities Management
732534,jounral_abbreviation,Health Facil Manage
732534,journal_issn,0899-6210
732534,article_jvolumn,8
732534,article_jissue,10
732534,article_jcreated_at,1/1/95
732534,article_pagination,"20-6, 28"
732534,author_list,"\"{\"\"K. Sandrick\"\"}\""
473026,article_title,The incidence of contrast-induced nephropathy in trauma patients.
473026,article_language,eng
473026,journal_title,European journal of emergency medicine : official journal of the European Society for Emergency Medicine
473026,jounral_abbreviation,Eur J Emerg Med
473026,journal_issn,1473-5695
473026,article_jvolumn,15
473026,article_jissue,3
473026,article_jcreated_at,1/8/06
473026,article_pagination,134-9
473026,author_list,"\"{\"\"Rich Sinert\"\""
372175,article_title,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal
372175,article_language,""
372175,journal_title,Int. J. Radiat. Oncol. Biol. Phys.
372175,jounral_abbreviation,""
372175,journal_issn,0360-3016
372175,article_jvolumn,90
372175,article_jissue,1
372175,article_jcreated_at,""
372175,article_pagination,S398
372175,author_list,"\"{\"\"Kooy H.\"\""
110072,article_title,Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.
110072,article_language,eng
110072,journal_title,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism
110072,jounral_abbreviation,J. Cereb. Blood Flow Metab.
110072,journal_issn,1559-7016
110072,article_jvolumn,34
110072,article_jissue,10
110072,article_jcreated_at,1/14/10
110072,article_pagination,1681-7
110072,author_list,"\"{\"\"Jacques Van Hoecke\"\""
330553,article_title,Multiresistance of clinically relevant gram-positive cocci
330553,article_language,""
330553,journal_title,Intensivmedizin und Notfallmedizin
330553,jounral_abbreviation,""
330553,journal_issn,0175-3851
330553,article_jvolumn,34
330553,article_jissue,7
330553,article_jcreated_at,1/1/97
330553,article_pagination,655-663
330553,author_list,"\"{\"\"G. Peters\"\""
23215,article_title,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.
23215,article_language,eng
23215,journal_title,Journal of the American Board of Family Medicine : JABFM
23215,jounral_abbreviation,J Am Board Fam Med
23215,journal_issn,1557-2625
23215,article_jvolumn,27
23215,article_jissue,1
23215,article_jcreated_at,1/14/01
23215,article_pagination,42-55
23215,author_list,"\"{\"\"Leila Jackson\"\""
719532,article_title,Methodology to estimate building energy consumption using EnergyPlus Benchmark Models
719532,article_language,""
719532,journal_title,Energy and Buildings
719532,jounral_abbreviation,""
719532,journal_issn,0378-7788
719532,article_jvolumn,42
719532,article_jissue,12
719532,article_jcreated_at,1/10/01
719532,article_pagination,2331-2337
719532,author_list,"\"{\"\"R. Luck\"\""
86421,article_title,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.
86421,article_language,eng
86421,journal_title,Cancer research
86421,jounral_abbreviation,Cancer Res.
86421,journal_issn,1538-7445
86421,article_jvolumn,71
86421,article_jissue,10
86421,article_jcreated_at,5/15/11
86421,article_pagination,Sep-82
86421,author_list,"\"{\"\"Stephanie J Weinstein\"\""
433667,article_title,"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement"
433667,article_language,""
433667,journal_title,""
433667,jounral_abbreviation,""
433667,journal_issn,""
433667,article_jvolumn,0
433667,article_jissue,0
433667,article_jcreated_at,""
433667,article_pagination,""
433667,author_list,{NULL}
530323,article_title,"Strategies for partner notification for sexually transmitted infections, including HIV."
530323,article_language,eng
530323,journal_title,Cochrane Database Syst. Rev.
530323,jounral_abbreviation,""
530323,journal_issn,1469-493X
530323,article_jvolumn,10
530323,article_jissue,-1
530323,article_jcreated_at,1/13/01
530323,article_pagination,CD002843
530323,author_list,"\"{\"\"Catherine Mathews\"\""
102893,article_title,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.
102893,article_language,eng
102893,journal_title,The Journal of clinical psychiatry
102893,jounral_abbreviation,J Clin Psychiatry
102893,journal_issn,1555-2101
102893,article_jvolumn,71
102893,article_jissue,11
102893,article_jcreated_at,1/10/11
102893,article_pagination,1518-25
102893,author_list,"\"{\"\"Roger S McIntyre\"\""
864817,article_title,Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial
864817,article_language,""
864817,journal_title,Annals of Oncology
864817,jounral_abbreviation,""
864817,journal_issn,""
864817,article_jvolumn,21
864817,article_jissue,0
864817,article_jcreated_at,1/10/01
864817,article_pagination,viii284
864817,author_list,"\"{\"\"B. Escudier\"\""
217725,article_title,Use of alendronate in peri-implant defect regeneration
217725,article_language,English
217725,journal_title,""
217725,jounral_abbreviation,""
217725,journal_issn,""
217725,article_jvolumn,70
217725,article_jissue,2
217725,article_jcreated_at,1/1/99
217725,article_pagination,151-158
217725,author_list,"\"{\"\"P. C. Wollan\"\""
730822,article_title,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine"
730822,article_language,English; ABSTRACT LANGUAGE:English
730822,journal_title,Annals of the Royal College of Surgeons of England
730822,jounral_abbreviation,Ann R Coll Surg Engl
730822,journal_issn,0035-8843
730822,article_jvolumn,76
730822,article_jissue,5
730822,article_jcreated_at,1/1/94
730822,article_pagination,324-326
730822,author_list,"\"{\"\"Jayatunga AP\"\""
659297,article_title,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.
659297,article_language,eng
659297,journal_title,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists
659297,jounral_abbreviation,Am J Phys Med Rehabil
659297,journal_issn,1537-7385
659297,article_jvolumn,91
659297,article_jissue,11
659297,article_jcreated_at,1/12/11
659297,article_pagination,984-98
659297,author_list,"\"{\"\"James Lenker\"\""
42247,article_title,"Gender differences in personal, social and environmental influences on active travel to and from school for Australian adolescents."
42247,article_language,eng
42247,journal_title,Journal of science and medicine in sport / Sports Medicine Australia
42247,jounral_abbreviation,J Sci Med Sport
42247,journal_issn,1878-1861
42247,article_jvolumn,13
42247,article_jissue,6
42247,article_jcreated_at,1/10/11
42247,article_pagination,597-601
42247,author_list,"\"{\"\"John W Toumbourou\"\""
302969,article_title,Adolescent overscheduling: The relationship between levels of participation in scheduled activities and self-reported clinical symptomology
302969,article_language,""
302969,journal_title,""
302969,jounral_abbreviation,""
302969,journal_issn,""
302969,article_jvolumn,90
302969,article_jissue,3
302969,article_jcreated_at,1/7/01
302969,article_pagination,18-30
302969,author_list,"\"{\"\"Steven G Little\"\""
158672,article_title,Quantitative Analysis of Robustness of Dynamic Response and Signal Transfer in Insulin mediated PI3K/AKT Pathway.
158672,article_language,ENG
158672,journal_title,Computers & chemical engineering
158672,jounral_abbreviation,Comput Chem Eng
158672,journal_issn,0098-1354
158672,article_jvolumn,71
158672,article_jissue,-1
158672,article_jcreated_at,4/14/12
158672,article_pagination,715-727
158672,author_list,"\"{\"\"Shibin Mathew\"\""
616298,article_title,Does neuraxial anesthesia reduce intraoperative blood loss? A meta-analysis.
616298,article_language,eng
616298,journal_title,Journal of clinical anesthesia
616298,jounral_abbreviation,J Clin Anesth
616298,journal_issn,0952-8180
616298,article_jvolumn,18
616298,article_jissue,6
616298,article_jcreated_at,1/6/09
616298,article_pagination,427-35
616298,author_list,"\"{\"\"David N Maine\"\""
221086,article_title,Novel genetic linkage of rat Sp6 mutation to Amelogenesis imperfecta
221086,article_language,eng
221086,journal_title,""
221086,jounral_abbreviation,""
221086,journal_issn,""
221086,article_jvolumn,7
221086,article_jissue,0
221086,article_jcreated_at,1/12/01
221086,article_pagination,34
221086,author_list,"\"{\"\"K. Miyoshi\"\""
548616,article_title,"Educating Emergent Bilinguals: Policies, Programs, and Practices for English Language Learners. Language & Literacy Series"
548616,article_language,""
548616,journal_title,Teachers College Press
548616,jounral_abbreviation,""
548616,journal_issn,0-8077-4913-3
548616,article_jvolumn,0
548616,article_jissue,0
548616,article_jcreated_at,1/10/10
548616,article_pagination,""
548616,author_list,"\"{\"\"Ofelia Garcia\"\""
669596,article_title,Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.
669596,article_language,eng
669596,journal_title,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA"
669596,jounral_abbreviation,Knee Surg Sports Traumatol Arthrosc
669596,journal_issn,1433-7347
669596,article_jvolumn,22
669596,article_jissue,12
669596,article_jcreated_at,1/14/12
669596,article_pagination,Jul-91
669596,author_list,"\"{\"\"Junwei Jiang\"\""
474288,article_title,Current palliative chemotherapy trials in the elderly neglect patient-centred outcome measures.
474288,article_language,eng
474288,journal_title,Journal of geriatric oncology
474288,jounral_abbreviation,J Geriatr Oncol
474288,journal_issn,1879-4076
474288,article_jvolumn,6
474288,article_jissue,1
474288,article_jcreated_at,1/15/01
474288,article_pagination,15-22
474288,author_list,"\"{\"\"Marlies L van Bekkum\"\""
108424,article_title,Outcome of gastric bypass patients.
108424,article_language,eng
108424,journal_title,Obesity surgery
108424,jounral_abbreviation,Obes Surg
108424,journal_issn,0960-8923
108424,article_jvolumn,12
108424,article_jissue,2
108424,article_jcreated_at,1/2/04
108424,article_pagination,261-4
108424,author_list,"\"{\"\"Ryan Holzwarth\"\""
841679,article_title,A Modified Technique for Pulmonary Valve Replacement with a Homograft
841679,article_language,English
841679,journal_title,J. Card. Surg.
841679,jounral_abbreviation,""
841679,journal_issn,-7977
841679,article_jvolumn,26
841679,article_jissue,2
841679,article_jcreated_at,1/11/01
841679,article_pagination,144-147
841679,author_list,"\"{\"\"S. K. Choudhary\"\""
173830,article_title,"Advances in allergic skin disease, anaphylaxis, and hypersensitivity reactions to foods, drugs, and insects"
173830,article_language,""
173830,journal_title,Journal of Allergy and Clinical Immunology
173830,jounral_abbreviation,""
173830,journal_issn,0091-6749 (Print)
173830,article_jvolumn,116
173830,article_jissue,1
173830,article_jcreated_at,1/5/01
173830,article_pagination,153-163
173830,author_list,"\"{\"\"S. H. Sicherer\"\""
852927,article_title,"Phase II study of epirubicin, oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma."
852927,article_language,eng
852927,journal_title,J. Exp. Clin. Cancer Res.
852927,jounral_abbreviation,""
852927,journal_issn,1756-9966
852927,article_jvolumn,28
852927,article_jissue,-1
852927,article_jcreated_at,1/9/01
852927,article_pagination,34
852927,author_list,"\"{\"\"Laura Giacinti\"\""
237623,article_title,Neck pain.
237623,article_language,eng
237623,journal_title,Clinical evidence
237623,jounral_abbreviation,Clin Evid (Online)
237623,journal_issn,1752-8526
237623,article_jvolumn,2008
237623,article_jissue,1
237623,article_jcreated_at,1/8/01
237623,article_pagination,""
237623,author_list,"\"{\"\"Allan I Binder\"\"}\""
912884,article_title,A guide to physiotherapy in cerebral palsy
912884,article_language,""
912884,journal_title,Paediatrics and Child Health
912884,jounral_abbreviation,""
912884,journal_issn,""
912884,article_jvolumn,18
912884,article_jissue,0
912884,article_jcreated_at,1/8/01
912884,article_pagination,410-413
912884,author_list,"\"{\"\"C. E. Barber\"\"}\""
318931,article_title,Community associated methicillin-resistant Staphylococcus aureus in HIV-infected patients
318931,article_language,""
318931,journal_title,AIDS Reviews
318931,jounral_abbreviation,""
318931,journal_issn,1139-6121
318931,article_jvolumn,12
318931,article_jissue,3
318931,article_jcreated_at,1/10/01
318931,article_pagination,153-163
318931,author_list,"\"{\"\"M. Pujol\"\""
93659,article_title,[The anxiety level of the patients who will have ultrasound-guided puncture biopsy: a survey study].
93659,article_language,chi
93659,journal_title,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi
93659,jounral_abbreviation,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi
93659,journal_issn,1001-5515
93659,article_jvolumn,29
93659,article_jissue,3
93659,article_jcreated_at,1/12/06
93659,article_pagination,"453-5, 459"
93659,author_list,"\"{\"\"Rujun Zheng\"\""
349150,article_title,The relationship between capsulorhexis size and anterior chamber depth relation.
349150,article_language,eng
349150,journal_title,Ophthalmic surgery and lasers
349150,jounral_abbreviation,Ophthalmic Surg Lasers
349150,journal_issn,1082-3069
349150,article_jvolumn,30
349150,article_jissue,3
349150,article_jcreated_at,3/1/99
349150,article_pagination,185-90
349150,author_list,"\"{\"\"O Ceki_\"\""
572010,article_title,"A pilot study of rituximab in patients with recurrent, classic Hodgkin disease."
572010,article_language,eng
572010,journal_title,CANCER
572010,jounral_abbreviation,""
572010,journal_issn,0008-543X
572010,article_jvolumn,98
572010,article_jissue,2
572010,article_jcreated_at,7/15/03
572010,article_pagination,310-4
572010,author_list,"\"{\"\"Anas Younes\"\""
826030,article_title,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study
826030,article_language,eng
826030,journal_title,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology
